SampleID,StudyID,Year,Month,Species,Lat,Long,dN15,dC13,C:N,Source
,1,1991,Feb,POM,-59.07,64.07,-4.47,-28.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.77,62.4,-4.48,-28.1,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.23,63.25,0.3,-27.9,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.28,72.28,0.17,-27.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-59.13,66.8,-4.9,-27.3,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.68,77.35,-4.59,-27.1,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-58.12,80.4,-0.62,-26.7,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.65,80.33,-1.41,-26.6,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-54.3,59.45,-1.41,-26.6,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-50.5,55.08,-4.65,-26.5,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-55.62,61,-3.43,-26.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-56.83,68.63,-1.78,-26.3,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-52.88,57.75,-2.51,-26.2,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-50.22,66.52,-2.09,-26.2,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.34,63,-3.55,-26,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.32,79.17,-0.13,-26,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-49.23,53.73,-3.19,-26,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-56.83,67.63,-1.17,-25.9,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.93,79.2,-2.09,-25.8,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-57.62,75.13,-1.78,-25.8,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-56.83,67.8,0.24,-25.8,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-51.62,56.33,-1.29,-25.8,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-48,52.48,-1.41,-25.8,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-50.55,55.03,-3.74,-25.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-46.98,68.1,-3.61,-25.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-50.6,55.25,-2.51,-25.3,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-56.83,68.58,1.52,-25,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-55,60.2,-2.27,-25,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-56.88,67.72,-0.07,-24.5,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-45.88,67.07,-1.78,-24.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-46.35,67.58,-2.76,-23.2,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-45.58,66.77,-2.94,-23.1,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-45.02,66.15,-1.6,-22.9,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-45.45,66.62,2.68,-22.8,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-45.27,66.41,-1.17,-22.3,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-44.65,65.11,-0.13,-21.1,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-40.03,61.15,7.32,-20.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-40.33,61.43,6.83,-19.3,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-44.57,65.67,3.41,-19.1,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-44.48,65.55,6.47,-18.5,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-44.25,65.31,7.26,-18.4,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-41.15,62.23,6.96,-17.9,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-43.84,64.51,6.65,-17.7,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-42.3,63.72,5.31,-17.6,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-42.3,63.37,5.92,-17.2,,"Altabet and Francois 1993, 1994"
,1,1991,Feb,POM,-43.2,64.28,6.04,-16.5,,"Altabet and Francois 1993, 1994"
U0115,2,2015,Aug,POM,-44.716,173.708,3.56,-27.85,,Karl Safi unpublished TAN1511
U0085,2,2015,Aug,POM,-44.16,174.029,3.15,-27.15,,Karl Safi unpublished TAN1511
U0127,2,2015,Aug,POM,-42.861,175.96,2.14,-26.93,,Karl Safi unpublished TAN1511
U0052,2,2015,Aug,POM,-44.716,173.708,3.17,-26.88,,Karl Safi unpublished TAN1511
U0114,2,2015,Aug,POM,-44.707,173.691,3.28,-26.83,,Karl Safi unpublished TAN1511
U0086,2,2015,Aug,POM,-44.186,174.022,1.13,-26.8,,Karl Safi unpublished TAN1511
U0087,2,2015,Aug,POM,-42.861,175.96,3.78,-26.8,,Karl Safi unpublished TAN1511
U0117,2,2015,Aug,POM,-43.906,175.955,0.11,-26.62,,Karl Safi unpublished TAN1511
U0207,2,2015,Aug,POM,-43.865,175.939,3.83,-26.59,,Karl Safi unpublished TAN1511
U0088,2,2015,Aug,POM,-44.459,174.637,3,-26.54,,Karl Safi unpublished TAN1511
U0089,2,2015,Aug,POM,-44.459,174.638,1.93,-26.53,,Karl Safi unpublished TAN1511
U0189,2,2015,Aug,POM,-43.169,174.866,3.56,-26.4,,Karl Safi unpublished TAN1511
U0190,2,2015,Aug,POM,-42.861,175.96,4.35,-26.37,,Karl Safi unpublished TAN1511
U0050,2,2015,Aug,POM,-44.707,173.691,4.3,-26.33,,Karl Safi unpublished TAN1511
U0090,2,2015,Aug,POM,-44.138,174.109,0.92,-26.32,,Karl Safi unpublished TAN1511
U0131,2,2015,Aug,POM,-43.622,174.222,2.23,-26.32,,Karl Safi unpublished TAN1511
U0146,2,2015,Aug,POM,-43.372,174.735,3.62,-26.07,,Karl Safi unpublished TAN1511
U0145,2,2015,Aug,POM,-43.621,174.225,3.42,-26.06,,Karl Safi unpublished TAN1511
U0206,2,2015,Aug,POM,-43.214,175.891,2.74,-26.06,,Karl Safi unpublished TAN1511
U0123,2,2015,Aug,POM,-42.903,177.448,2.9,-25.99,,Karl Safi unpublished TAN1511
U0118,2,2015,Aug,POM,-42.861,175.96,3.11,-25.98,,Karl Safi unpublished TAN1511
U0116,2,2015,Aug,POM,-43.903,175.984,1.73,-25.86,,Karl Safi unpublished TAN1511
U0121,2,2015,Aug,POM,-43.773,176.626,1.61,-25.8,,Karl Safi unpublished TAN1511
U0093,2,2015,Aug,POM,-44.186,174.022,2.78,-25.79,,Karl Safi unpublished TAN1511
U0130,2,2015,Aug,POM,-43.222,175.241,2.26,-25.78,,Karl Safi unpublished TAN1511
U0162,2,2015,Aug,POM,-42.723,178.074,2.98,-25.73,,Karl Safi unpublished TAN1511
U0120,2,2015,Aug,POM,-43.425,176.96,1.67,-25.71,,Karl Safi unpublished TAN1511
U0188,2,2015,Aug,POM,-42.903,177.448,2.13,-25.7,,Karl Safi unpublished TAN1511
U0119,2,2015,Aug,POM,-42.739,177.392,2.12,-25.68,,Karl Safi unpublished TAN1511
U0082,2,2015,Aug,POM,-42.723,178.074,0.82,-25.68,,Karl Safi unpublished TAN1511
U0157,2,2015,Aug,POM,-43.116,-179.591,2.74,-25.62,,Karl Safi unpublished TAN1511
U0092,2,2015,Aug,POM,-44.16,174.029,3.58,-25.58,,Karl Safi unpublished TAN1511
U0205,2,2015,Aug,POM,-43.169,174.866,3.19,-25.55,,Karl Safi unpublished TAN1511
U0156,2,2015,Aug,POM,-42.117,179.41,3.57,-25.55,,Karl Safi unpublished TAN1511
U0147,2,2015,Aug,POM,-43.489,174.978,2.92,-25.54,,Karl Safi unpublished TAN1511
U0160,2,2015,Aug,POM,-42.723,178.074,3.29,-25.5,,Karl Safi unpublished TAN1511
U0063,2,2015,Aug,POM,-44.989,179.85,1.78,-25.47,,Karl Safi unpublished TAN1511
U0083,2,2015,Aug,POM,-44.037,-179.046,2.09,-25.34,,Karl Safi unpublished TAN1511
U0098,2,2015,Aug,POM,-42.723,178.074,7.93,-25.27,,Karl Safi unpublished TAN1511
U0187,2,2015,Aug,POM,-42.9,177.447,1.58,-25.24,,Karl Safi unpublished TAN1511
U0081,2,2015,Aug,POM,-43.849,178.551,0.81,-25.22,,Karl Safi unpublished TAN1511
U0158,2,2015,Aug,POM,-44.03,179.084,2.89,-25.19,,Karl Safi unpublished TAN1511
U0094,2,2015,Aug,POM,-42.861,175.96,2.91,-25.19,,Karl Safi unpublished TAN1511
U0099,2,2015,Aug,POM,-43.338,178.917,3.71,-25.16,,Karl Safi unpublished TAN1511
U0180,2,2015,Aug,POM,-42.745,178.121,2.82,-25.15,,Karl Safi unpublished TAN1511
U0059,2,2015,Aug,POM,-42.739,177.392,1.54,-25.14,,Karl Safi unpublished TAN1511
U0159,2,2015,Aug,POM,-44.037,-179.046,3.56,-25.09,,Karl Safi unpublished TAN1511
U0065,2,2015,Aug,POM,-44.03,179.084,2.72,-24.9,,Karl Safi unpublished TAN1511
U0112,2,2015,Aug,POM,-43.906,175.955,1.83,-24.9,,Karl Safi unpublished TAN1511
U0132,2,2015,Aug,POM,-43.538,174.584,3.71,-24.87,,Karl Safi unpublished TAN1511
U0183,2,2015,Aug,POM,-42.723,178.074,2.71,-24.87,,Karl Safi unpublished TAN1511
U0067,2,2015,Aug,POM,-43.328,179.009,2.82,-24.86,,Karl Safi unpublished TAN1511
U0051,2,2015,Aug,POM,-42.723,178.074,2.93,-24.76,,Karl Safi unpublished TAN1511
U0095,2,2015,Aug,POM,-44.459,174.637,3.41,-24.75,,Karl Safi unpublished TAN1511
U0056,2,2015,Aug,POM,-42.903,177.448,2.94,-24.61,,Karl Safi unpublished TAN1511
U0149,2,2015,Aug,POM,-43.538,174.584,2.24,-24.6,,Karl Safi unpublished TAN1511
