"","X","Y","Values"
"1",-179,-40,-20.2691860198975
"2",-177,-40,-20.0695972442627
"3",-175,-40,-20.009162902832
"4",-173,-40,-20.1371479034424
"5",-171,-40,-20.1526718139648
"6",-169,-40,-20.0410823822021
"7",-167,-40,-20.0018444061279
"8",-165,-40,-20.1450290679932
"9",-163,-40,-20.322509765625
"10",-161,-40,-20.3258419036865
"11",-159,-40,-20.3790187835693
"12",-157,-40,-20.3808841705322
"13",-155,-40,-20.5921478271484
"14",-153,-40,-20.6975002288818
"15",-151,-40,-20.837085723877
"16",-149,-40,-20.9638690948486
"17",-147,-40,-21.1180191040039
"18",-145,-40,-21.1691970825195
"19",-143,-40,-21.1784801483154
"20",-141,-40,-21.2877616882324
"21",-139,-40,-21.3607501983643
"22",-137,-40,-21.3570232391357
"23",-135,-40,-21.303165435791
"24",-133,-40,-21.3440227508545
"25",-131,-40,-21.3641681671143
"26",-129,-40,-21.4048347473145
"27",-127,-40,-21.3474159240723
"28",-125,-40,-21.416467666626
"29",-123,-40,-21.416841506958
"30",-121,-40,-21.4217472076416
"31",-119,-40,-21.4133129119873
"32",-117,-40,-21.3821201324463
"33",-115,-40,-21.4058589935303
"34",-113,-40,-21.4402637481689
"35",-111,-40,-21.3919067382812
"36",-109,-40,-21.353874206543
"37",-107,-40,-21.2729969024658
"38",-105,-40,-21.3429126739502
"39",-103,-40,-21.2087593078613
"40",-101,-40,-21.1856880187988
"41",-99,-40,-21.1307468414307
"42",-97,-40,-21.0729465484619
"43",-95,-40,-20.9492511749268
"44",-93,-40,-20.831392288208
"45",-91,-40,-20.7676868438721
"46",-89,-40,-20.7352619171143
"47",-87,-40,-20.6050281524658
"48",-85,-40,-20.538064956665
"49",-83,-40,-20.5449123382568
"50",-81,-40,-20.5692901611328
"51",-79,-40,-20.6497249603271
"52",-77,-40,-20.6303558349609
"53",-75,-40,-20.4154090881348
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,-19.4862785339355
"57",-67,-40,-19.4862785339355
"58",-65,-40,-19.0468978881836
"59",-63,-40,-18.4146366119385
"60",-61,-40,-19.3173923492432
"61",-59,-40,-19.7782955169678
"62",-57,-40,-19.3278160095215
"63",-55,-40,-20.6448059082031
"64",-53,-40,-21.0277366638184
"65",-51,-40,-21.4783897399902
"66",-49,-40,-21.8640232086182
"67",-47,-40,-22.1836528778076
"68",-45,-40,-22.8993167877197
"69",-43,-40,-23.1471500396729
