"","X","Y","Values"
"1",-179,-40,-21.5292434692383
"2",-177,-40,-21.7052154541016
"3",-175,-40,-21.8536987304688
"4",-173,-40,-21.9917469024658
"5",-171,-40,-22.1240940093994
"6",-169,-40,-22.2277927398682
"7",-167,-40,-22.3048648834229
"8",-165,-40,-22.3459663391113
"9",-163,-40,-22.3975830078125
"10",-161,-40,-22.4186134338379
"11",-159,-40,-22.4368629455566
"12",-157,-40,-22.4197845458984
"13",-155,-40,-22.4692935943604
"14",-153,-40,-22.4740715026855
"15",-151,-40,-22.4893016815186
"16",-149,-40,-22.5363311767578
"17",-147,-40,-22.593225479126
"18",-145,-40,-22.6342506408691
"19",-143,-40,-22.652759552002
"20",-141,-40,-22.6824378967285
"21",-139,-40,-22.7085304260254
"22",-137,-40,-22.7008094787598
"23",-135,-40,-22.696268081665
"24",-133,-40,-22.7336711883545
"25",-131,-40,-22.7661170959473
"26",-129,-40,-22.7760238647461
"27",-127,-40,-22.7748546600342
"28",-125,-40,-22.8168506622314
"29",-123,-40,-22.8014183044434
"30",-121,-40,-22.7898254394531
"31",-119,-40,-22.8044395446777
"32",-117,-40,-22.8083400726318
"33",-115,-40,-22.8285064697266
"34",-113,-40,-22.8257465362549
"35",-111,-40,-22.7981662750244
"36",-109,-40,-22.8520984649658
"37",-107,-40,-22.839771270752
"38",-105,-40,-22.9121513366699
"39",-103,-40,-22.9238986968994
"40",-101,-40,-22.9747428894043
"41",-99,-40,-23.0161170959473
"42",-97,-40,-23.0300827026367
"43",-95,-40,-22.9850578308105
"44",-93,-40,-22.939380645752
"45",-91,-40,-22.8974075317383
"46",-89,-40,-22.8723735809326
"47",-87,-40,-22.8300323486328
"48",-85,-40,-22.8126163482666
"49",-83,-40,-22.7770671844482
"50",-81,-40,-22.7013607025146
"51",-79,-40,-22.5616130828857
"52",-77,-40,-22.4113674163818
"53",-75,-40,-21.9762306213379
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,-20.7950401306152
"57",-67,-40,-20.7950401306152
"58",-65,-40,-20.6851806640625
"59",-63,-40,-20.9987735748291
"60",-61,-40,-20.9275970458984
"61",-59,-40,-21.5307121276855
"62",-57,-40,-21.8479194641113
"63",-55,-40,-22.6955909729004
"64",-53,-40,-21.0715675354004
"65",-51,-40,-20.8617820739746
"66",-49,-40,-21.088306427002
"67",-47,-40,-21.4963130950928
"68",-45,-40,-21.7142944335938
"69",-43,-40,-21.7560520172119
"70",-41,-40,-21.7372207641602
"71",-39,-40,-21.7601470947266
"72",-37,-40,-21.7617530822754
"73",-35,-40,-21.9489707946777
"74",-33,-40,-21.9021892547607
"75",-31,-40,-21.7943058013916
"76",-29,-40,-21.8642959594727
"77",-27,-40,-21.9495506286621
"78",-25,-40,-22.0121746063232
"79",-23,-40,-22.0585689544678
"80",-21,-40,-22.2119140625
"81",-19,-40,-22.3167819976807
"82",-17,-40,-22.3560371398926
"83",-15,-40,-22.411979675293
"84",-13,-40,-22.6097774505615
"85",-11,-40,-22.7134685516357
"86",-9,-40,-22.8505020141602
"87",-7,-40,-22.9362831115723
"88",-5,-40,-23.0506286621094
"89",-3,-40,-23.0638694763184
"90",-1,-40,-23.09912109375
