"","X","Y","Values"
"1",-179,-40,3.51664209365845
"2",-177,-40,3.07903075218201
"3",-175,-40,2.93250966072083
"4",-173,-40,2.9589364528656
"5",-171,-40,2.72337484359741
"6",-169,-40,2.36466860771179
"7",-167,-40,2.10545611381531
"8",-165,-40,2.00188446044922
"9",-163,-40,1.8424369096756
"10",-161,-40,1.59825825691223
"11",-159,-40,1.36416757106781
"12",-157,-40,1.13549983501434
"13",-155,-40,0.949726343154907
"14",-153,-40,0.715641021728516
"15",-151,-40,0.53750091791153
"16",-149,-40,0.361353605985641
"17",-147,-40,0.216282486915588
"18",-145,-40,0.000784877338446677
"19",-143,-40,-0.244308203458786
"20",-141,-40,-0.438567042350769
"21",-139,-40,-0.637847304344177
"22",-137,-40,-0.789903938770294
"23",-135,-40,-0.841552972793579
"24",-133,-40,-0.826601445674896
"25",-131,-40,-0.812748432159424
"26",-129,-40,-0.765158116817474
"27",-127,-40,-0.779392123222351
"28",-125,-40,-0.700162529945374
"29",-123,-40,-0.679221093654633
"30",-121,-40,-0.656302750110626
"31",-119,-40,-0.655345380306244
"32",-117,-40,-0.713811099529266
"33",-115,-40,-0.71259880065918
"34",-113,-40,-0.62511146068573
"35",-111,-40,-0.502341508865356
"36",-109,-40,-0.358778119087219
"37",-107,-40,-0.238833427429199
"38",-105,-40,-0.0341771580278873
"39",-103,-40,0.149899527430534
"40",-101,-40,0.348831474781036
"41",-99,-40,0.538851678371429
"42",-97,-40,0.685510575771332
"43",-95,-40,0.839512646198273
"44",-93,-40,1.00484585762024
"45",-91,-40,1.15440785884857
"46",-89,-40,1.34358370304108
"47",-87,-40,1.55795872211456
"48",-85,-40,1.76675748825073
"49",-83,-40,1.9776976108551
"50",-81,-40,2.37464189529419
"51",-79,-40,3.02038764953613
"52",-77,-40,3.90188598632812
"53",-75,-40,6.59172534942627
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,8.91818714141846
"57",-67,-40,8.91818714141846
"58",-65,-40,9.50013732910156
"59",-63,-40,9.23214149475098
"60",-61,-40,8.30316352844238
"61",-59,-40,7.88346433639526
"62",-57,-40,9.351637840271
"63",-55,-40,6.05654668807983
"64",-53,-40,6.05995178222656
"65",-51,-40,4.95200824737549
"66",-49,-40,4.67800092697144
"67",-47,-40,4.31642293930054
"68",-45,-40,3.97489857673645
"69",-43,-40,3.4726026058197
"70",-41,-40,3.05729222297668
"71",-39,-40,2.78550291061401
"72",-37,-40,2.68783330917358
"73",-35,-40,2.54834485054016
"74",-33,-40,2.39699053764343
"75",-31,-40,1.90877985954285
"76",-29,-40,1.74686014652252
"77",-27,-40,1.94525587558746
"78",-25,-40,1.99401891231537
"79",-23,-40,2.14175367355347
"80",-21,-40,2.34804344177246
"81",-19,-40,2.41188597679138
"82",-17,-40,2.5740065574646
"83",-15,-40,2.84275531768799
"84",-13,-40,2.99771237373352
"85",-11,-40,3.15235948562622
"86",-9,-40,3.22332715988159
"87",-7,-40,2.85448479652405
"88",-5,-40,2.7102313041687
"89",-3,-40,2.89733386039734
"90",-1,-40,2.91965198516846
"91",1,-40,2.90880656242371
"92",3,-40,2.7513370513916
"93",5,-40,2.5847327709198
"94",7,-40,2.41294050216675
"95",9,-40,2.27393579483032
"96",11,-40,2.41246747970581
"97",13,-40,2.94643831253052
"98",15,-40,3.34505438804626
"99",17,-40,3.83368611335754
"100",19,-40,4.20216655731201
"101",21,-40,4.14950799942017
"102",23,-40,3.90862488746643
"103",25,-40,3.67679476737976
"104",27,-40,3.54754161834717
"105",29,-40,3.55767369270325
"106",31,-40,3.33831834793091
"107",33,-40,3.47813320159912
"108",35,-40,3.57965564727783
"109",37,-40,3.49450254440308
"110",39,-40,3.45302176475525
"111",41,-40,3.49998211860657
"112",43,-40,3.41396450996399
"113",45,-40,3.3647038936615
"114",47,-40,3.06133079528809
"115",49,-40,3.05853271484375
"116",51,-40,3.03130650520325
"117",53,-40,2.33256816864014
"118",55,-40,1.90226376056671
"119",57,-40,1.48863625526428
"120",59,-40,1.23947393894196
"121",61,-40,0.955319762229919
"122",63,-40,0.953045964241028
"123",65,-40,1.26416230201721
"124",67,-40,1.46642351150513
"125",69,-40,1.45772981643677
"126",71,-40,1.23036360740662
"127",73,-40,1.05105257034302
"128",75,-40,1.09169137477875
"129",77,-40,1.08710956573486
"130",79,-40,0.922769010066986
"131",81,-40,0.860844969749451
"132",83,-40,0.61489325761795
"133",85,-40,0.334448248147964
"134",87,-40,0.146871313452721
"135",89,-40,0.0358943790197372
"136",91,-40,-0.0594183318316936
"137",93,-40,-0.141874477267265
"138",95,-40,-0.349304586648941
"139",97,-40,-0.456984877586365
"140",99,-40,-0.542292594909668
"141",101,-40,-0.659432232379913
"142",103,-40,-0.649750351905823
"143",105,-40,-0.784526109695435
"144",107,-40,-0.900596261024475
"145",109,-40,-0.850913524627686
"146",111,-40,-0.7004753947258
"147",113,-40,-0.411313265562057
"148",115,-40,-0.171851500868797
"149",117,-40,0.296285450458527
"150",119,-40,0.655952155590057
"151",121,-40,0.877514600753784
"152",123,-40,1.11668062210083
"153",125,-40,1.32316148281097
"154",127,-40,1.55767035484314
"155",129,-40,1.79576623439789
"156",131,-40,2.07011866569519
"157",133,-40,2.24873661994934
"158",135,-40,2.41982173919678
"159",137,-40,2.68644881248474
"160",139,-40,2.94507622718811
"161",141,-40,3.24436473846436
"162",143,-40,3.55349636077881
"163",145,-40,5.49078273773193
"164",147,-40,5.05457973480225
"165",149,-40,5.48091459274292
"166",151,-40,3.96946263313293
"167",153,-40,3.74443483352661
"168",155,-40,3.48023462295532
"169",157,-40,3.16677474975586
"170",159,-40,2.92479991912842
"171",161,-40,3.02529335021973
"172",163,-40,3.06537389755249
"173",165,-40,3.22057414054871
"174",167,-40,3.42453765869141
"175",169,-40,3.69196915626526
"176",171,-40,4.05215215682983
"177",173,-40,6.8497748374939
"178",175,-40,6.33860921859741
"179",177,-40,4.91720390319824
"180",179,-40,3.66056180000305
"181",-179,-41,3.81040716171265
"182",-177,-41,3.20914030075073
"183",-175,-41,3.09086036682129
"184",-173,-41,2.92196869850159
"185",-171,-41,2.62540173530579
"186",-169,-41,2.39151453971863
"187",-167,-41,2.14757251739502
"188",-165,-41,2.0874457359314
"189",-163,-41,1.95549845695496
"190",-161,-41,1.72285628318787
"191",-159,-41,1.50096905231476
"192",-157,-41,1.2513679265976
"193",-155,-41,0.996553838253021
"194",-153,-41,0.76730614900589
"195",-151,-41,0.556550085544586
"196",-149,-41,0.335248440504074
"197",-147,-41,0.175247058272362
"198",-145,-41,-0.0740727782249451
"199",-143,-41,-0.323150396347046
"200",-141,-41,-0.505068719387054
"201",-139,-41,-0.64792662858963
"202",-137,-41,-0.799201548099518
