"","X","Y","Values"
"1",-179,-40,0.120884418487549
"2",-177,-40,0.122872896492481
"3",-175,-40,0.124007284641266
"4",-173,-40,0.124702580273151
"5",-171,-40,0.127742320299149
"6",-169,-40,0.132625803351402
"7",-167,-40,0.137897476553917
"8",-165,-40,0.143525421619415
"9",-163,-40,0.150379553437233
"10",-161,-40,0.159939721226692
"11",-159,-40,0.170882120728493
"12",-157,-40,0.184029370546341
"13",-155,-40,0.19878114759922
"14",-153,-40,0.215389668941498
"15",-151,-40,0.235106945037842
"16",-149,-40,0.257522284984589
"17",-147,-40,0.282796502113342
"18",-145,-40,0.309050679206848
"19",-143,-40,0.336673349142075
"20",-141,-40,0.367161095142365
"21",-139,-40,0.399742096662521
"22",-137,-40,0.435488641262054
"23",-135,-40,0.437254637479782
"24",-133,-40,0.430844098329544
"25",-131,-40,0.425587326288223
"26",-129,-40,0.42194852232933
"27",-127,-40,0.418262869119644
"28",-125,-40,0.418015986680984
"29",-123,-40,0.417158156633377
"30",-121,-40,0.417548328638077
"31",-119,-40,0.418954998254776
"32",-117,-40,0.420104116201401
"33",-115,-40,0.418104857206345
"34",-113,-40,0.406248360872269
"35",-111,-40,0.380846917629242
"36",-109,-40,0.352010905742645
"37",-107,-40,0.324023604393005
"38",-105,-40,0.29976150393486
"39",-103,-40,0.274690359830856
"40",-101,-40,0.251669526100159
"41",-99,-40,0.230715170502663
"42",-97,-40,0.210768610239029
"43",-95,-40,0.193090856075287
"44",-93,-40,0.177866026759148
"45",-91,-40,0.164094299077988
"46",-89,-40,0.15246519446373
"47",-87,-40,0.144149020314217
"48",-85,-40,0.137375518679619
"49",-83,-40,0.130688324570656
"50",-81,-40,0.126157209277153
"51",-79,-40,0.121624141931534
"52",-77,-40,0.118768736720085
"53",-75,-40,0.128007128834724
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,0.16933473944664
"57",-67,-40,0.16933473944664
"58",-65,-40,0.182190954685211
"59",-63,-40,0.170421570539474
"60",-61,-40,0.153656512498856
"61",-59,-40,0.147843062877655
"62",-57,-40,0.197428643703461
"63",-55,-40,0.122133746743202
"64",-53,-40,0.12985734641552
"65",-51,-40,0.126684620976448
"66",-49,-40,0.130129560828209
"67",-47,-40,0.135479673743248
"68",-45,-40,0.141628012061119
"69",-43,-40,0.150038108229637
"70",-41,-40,0.161078587174416
"71",-39,-40,0.170742720365524
"72",-37,-40,0.170870378613472
"73",-35,-40,0.169682398438454
"74",-33,-40,0.169683411717415
"75",-31,-40,0.168706595897675
"76",-29,-40,0.172545611858368
"77",-27,-40,0.159261986613274
"78",-25,-40,0.144396960735321
"79",-23,-40,0.132503718137741
"80",-21,-40,0.123342372477055
"81",-19,-40,0.115927621722221
"82",-17,-40,0.111440807580948
"83",-15,-40,0.109375938773155
"84",-13,-40,0.10915033519268
"85",-11,-40,0.11139453202486
