"","X","Y","Values"
"1",-179,-40,-20.7006797790527
"2",-177,-40,-20.8989219665527
"3",-175,-40,-21.0261383056641
"4",-173,-40,-21.0762996673584
"5",-171,-40,-21.1451473236084
"6",-169,-40,-21.2549743652344
"7",-167,-40,-21.3203945159912
"8",-165,-40,-21.3055534362793
"9",-163,-40,-21.3277835845947
"10",-161,-40,-21.3891353607178
"11",-159,-40,-21.4270992279053
"12",-157,-40,-21.4208068847656
"13",-155,-40,-21.4773216247559
"14",-153,-40,-21.4867172241211
"15",-151,-40,-21.4770679473877
"16",-149,-40,-21.5394020080566
"17",-147,-40,-21.6200656890869
"18",-145,-40,-21.6418781280518
"19",-143,-40,-21.6806526184082
"20",-141,-40,-21.6872615814209
"21",-139,-40,-21.727689743042
"22",-137,-40,-21.7293395996094
"23",-135,-40,-21.7133941650391
"24",-133,-40,-21.7946949005127
"25",-131,-40,-21.8320236206055
"26",-129,-40,-21.8290939331055
"27",-127,-40,-21.7890300750732
"28",-125,-40,-21.8125076293945
"29",-123,-40,-21.798713684082
"30",-121,-40,-21.7483673095703
"31",-119,-40,-21.7948360443115
"32",-117,-40,-21.7811431884766
"33",-115,-40,-21.8108787536621
"34",-113,-40,-21.7660808563232
"35",-111,-40,-21.7474727630615
"36",-109,-40,-21.8645477294922
"37",-107,-40,-21.8294162750244
"38",-105,-40,-21.8993320465088
"39",-103,-40,-21.8780460357666
"40",-101,-40,-21.9376029968262
"41",-99,-40,-21.9696254730225
"42",-97,-40,-21.996301651001
"43",-95,-40,-21.9768466949463
"44",-93,-40,-21.8926734924316
"45",-91,-40,-21.9093837738037
"46",-89,-40,-21.8491897583008
"47",-87,-40,-21.8204135894775
"48",-85,-40,-21.7863998413086
"49",-83,-40,-21.7945251464844
"50",-81,-40,-21.6799011230469
"51",-79,-40,-21.4665813446045
"52",-77,-40,-21.2972373962402
"53",-75,-40,-20.6693878173828
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,-19.3074817657471
"57",-67,-40,-19.3074817657471
"58",-65,-40,-19.1366863250732
"59",-63,-40,-18.8004188537598
"60",-61,-40,-18.8745937347412
"61",-59,-40,-19.9153366088867
"62",-57,-40,-19.8382186889648
"63",-55,-40,-20.3468647003174
"64",-53,-40,-19.3753566741943
"65",-51,-40,-19.5920257568359
"66",-49,-40,-19.79075050354
"67",-47,-40,-20.1807613372803
"68",-45,-40,-20.3946666717529
"69",-43,-40,-20.576810836792
"70",-41,-40,-20.5817165374756
"71",-39,-40,-20.5067539215088
"72",-37,-40,-20.6194190979004
"73",-35,-40,-20.8295249938965
"74",-33,-40,-20.823127746582
"75",-31,-40,-20.8471069335938
"76",-29,-40,-21.0115699768066
"77",-27,-40,-21.0913257598877
"78",-25,-40,-21.1604290008545
"79",-23,-40,-21.2096843719482
"80",-21,-40,-21.4184494018555
"81",-19,-40,-21.5819835662842
"82",-17,-40,-21.5022430419922
"83",-15,-40,-21.4546451568604
"84",-13,-40,-21.663293838501
"85",-11,-40,-21.7911033630371
"86",-9,-40,-22.0079765319824
"87",-7,-40,-22.040153503418
"88",-5,-40,-22.1410541534424
"89",-3,-40,-22.0560665130615
"90",-1,-40,-22.0775337219238
"91",1,-40,-22.2229290008545
"92",3,-40,-22.2957878112793
"93",5,-40,-22.1516704559326
"94",7,-40,-22.0472602844238
"95",9,-40,-21.8251972198486
"96",11,-40,-21.59983253479
"97",13,-40,-20.7153415679932
"98",15,-40,-19.9662666320801
"99",17,-40,-19.8403167724609
"100",19,-40,-19.4201774597168
"101",21,-40,-19.5370445251465
"102",23,-40,-19.846305847168
"103",25,-40,-20.1965045928955
"104",27,-40,-20.4832611083984
"105",29,-40,-20.2872562408447
"106",31,-40,-20.226432800293
"107",33,-40,-20.6984348297119
"108",35,-40,-20.4016208648682
"109",37,-40,-20.7157917022705
"110",39,-40,-20.8283233642578
"111",41,-40,-20.6512050628662
"112",43,-40,-20.540735244751
"113",45,-40,-20.6118774414062
"114",47,-40,-20.6203441619873
"115",49,-40,-21.2559928894043
"116",51,-40,-21.0374927520752
"117",53,-40,-20.6983795166016
"118",55,-40,-20.7891826629639
"119",57,-40,-20.7753639221191
"120",59,-40,-20.8631706237793
"121",61,-40,-21.075963973999
"122",63,-40,-21.0888557434082
"123",65,-40,-21.2940235137939
"124",67,-40,-21.3456935882568
"125",69,-40,-21.3994445800781
"126",71,-40,-21.4663848876953
"127",73,-40,-21.5952816009521
"128",75,-40,-21.7459030151367
"129",77,-40,-21.8363304138184
"130",79,-40,-21.7661914825439
"131",81,-40,-21.8564376831055
"132",83,-40,-21.9296760559082
"133",85,-40,-22.0532913208008
"134",87,-40,-22.1122550964355
"135",89,-40,-22.1728191375732
"136",91,-40,-22.1880035400391
"137",93,-40,-22.2540798187256
"138",95,-40,-22.3255844116211
"139",97,-40,-22.3494663238525
"140",99,-40,-22.3546123504639
"141",101,-40,-22.374719619751
"142",103,-40,-22.3953819274902
"143",105,-40,-22.3700866699219
"144",107,-40,-22.358829498291
"145",109,-40,-22.2437782287598
"146",111,-40,-22.0624332427979
"147",113,-40,-22.053524017334
"148",115,-40,-22.0121288299561
"149",117,-40,-21.9499340057373
"150",119,-40,-21.9169368743896
"151",121,-40,-21.8878173828125
"152",123,-40,-21.9516563415527
"153",125,-40,-21.8872356414795
"154",127,-40,-21.9086627960205
"155",129,-40,-21.8224639892578
"156",131,-40,-21.7371273040771
"157",133,-40,-21.6884307861328
"158",135,-40,-21.5672359466553
"159",137,-40,-21.5253143310547
"160",139,-40,-21.4573421478271
"161",141,-40,-21.5054626464844
"162",143,-40,-21.4018115997314
"163",145,-40,-20.7324600219727
"164",147,-40,-20.6676406860352
"165",149,-40,-20.0211563110352
"166",151,-40,-20.2066059112549
"167",153,-40,-20.3589725494385
"168",155,-40,-20.524564743042
"169",157,-40,-20.6405372619629
"170",159,-40,-20.6610355377197
"171",161,-40,-20.7413139343262
"172",163,-40,-20.7949771881104
"173",165,-40,-20.7998790740967
"174",167,-40,-20.8078594207764
"175",169,-40,-20.8035449981689
"176",171,-40,-20.7063808441162
"177",173,-40,-20.1578502655029
