"","X","Y","Values"
"1",-179,-40,-20.4952125549316
"2",-177,-40,-20.4270915985107
"3",-175,-40,-20.4666061401367
"4",-173,-40,-20.7005157470703
"5",-171,-40,-20.7602519989014
"6",-169,-40,-20.706392288208
"7",-167,-40,-20.8393268585205
"8",-165,-40,-21.021276473999
"9",-163,-40,-21.1909866333008
"10",-161,-40,-21.1669387817383
"11",-159,-40,-21.3814067840576
"12",-157,-40,-21.378755569458
"13",-155,-40,-21.677526473999
"14",-153,-40,-21.8590126037598
"15",-151,-40,-22.0800914764404
"16",-149,-40,-22.1992378234863
"17",-147,-40,-22.3420581817627
"18",-145,-40,-22.4042205810547
"19",-143,-40,-22.496919631958
"20",-141,-40,-22.6194381713867
"21",-139,-40,-22.8107490539551
"22",-137,-40,-22.795711517334
"23",-135,-40,-22.8172569274902
"24",-133,-40,-22.8507118225098
"25",-131,-40,-22.9162673950195
"26",-129,-40,-22.8663635253906
"27",-127,-40,-22.8788280487061
"28",-125,-40,-22.88157081604
"29",-123,-40,-22.9155769348145
"30",-121,-40,-22.9299430847168
"31",-119,-40,-22.9619846343994
"32",-117,-40,-22.8953514099121
"33",-115,-40,-22.8634777069092
"34",-113,-40,-22.9148330688477
"35",-111,-40,-22.7671222686768
"36",-109,-40,-22.684419631958
"37",-107,-40,-22.5919151306152
"38",-105,-40,-22.6594791412354
"39",-103,-40,-22.4849987030029
"40",-101,-40,-22.4141731262207
"41",-99,-40,-22.3139991760254
"42",-97,-40,-22.256929397583
"43",-95,-40,-22.0417652130127
"44",-93,-40,-21.9264183044434
"45",-91,-40,-21.8349876403809
"46",-89,-40,-21.7548198699951
"47",-87,-40,-21.6101989746094
"48",-85,-40,-21.4689083099365
"49",-83,-40,-21.4128303527832
"50",-81,-40,-21.2903823852539
"51",-79,-40,-21.1662178039551
"52",-77,-40,-20.9926719665527
"53",-75,-40,-20.747673034668
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,-19.6370525360107
"57",-67,-40,-19.6370525360107
"58",-65,-40,-19.5670566558838
"59",-63,-40,-19.4666690826416
"60",-61,-40,-19.847505569458
"61",-59,-40,-20.2761116027832
"62",-57,-40,-19.8545017242432
"63",-55,-40,-21.4533100128174
"64",-53,-40,-20.7564678192139
"65",-51,-40,-20.8099098205566
"66",-49,-40,-21.5427093505859
"67",-47,-40,-22.1407413482666
"68",-45,-40,-22.6869697570801
"69",-43,-40,-23.0366287231445
"70",-41,-40,-22.9385452270508
"71",-39,-40,-22.9764137268066
"72",-37,-40,-23.276927947998
"73",-35,-40,-23.459342956543
"74",-33,-40,-23.8054733276367
"75",-31,-40,-23.2316589355469
"76",-29,-40,-23.2887840270996
"77",-27,-40,-23.8820762634277
"78",-25,-40,-23.1666660308838
"79",-23,-40,-22.9812526702881
"80",-21,-40,-22.8104209899902
"81",-19,-40,-22.4920444488525
"82",-17,-40,-22.1450881958008
"83",-15,-40,-21.8061389923096
"84",-13,-40,-21.6016330718994
"85",-11,-40,-21.3312091827393
"86",-9,-40,-21.4071102142334
"87",-7,-40,-21.8068161010742
"88",-5,-40,-22.092866897583
"89",-3,-40,-21.8665084838867
"90",-1,-40,-21.8015289306641
"91",1,-40,-21.7782878875732
"92",3,-40,-21.9765815734863
"93",5,-40,-22.1645126342773
"94",7,-40,-22.3281593322754
"95",9,-40,-22.5963706970215
"96",11,-40,-22.5911273956299
"97",13,-40,-22.3941268920898
"98",15,-40,-22.3700695037842
"99",17,-40,-22.7070751190186
"100",19,-40,-23.318416595459
"101",21,-40,-23.6796112060547
"102",23,-40,-24.0569133758545
"103",25,-40,-23.5584926605225
"104",27,-40,-23.1248455047607
"105",29,-40,-22.5444450378418
"106",31,-40,-22.0578308105469
"107",33,-40,-21.9843215942383
"108",35,-40,-21.6957263946533
"109",37,-40,-21.6224327087402
"110",39,-40,-21.3389358520508
"111",41,-40,-21.1651840209961
"112",43,-40,-21.3162021636963
"113",45,-40,-21.5984668731689
"114",47,-40,-21.3984413146973
"115",49,-40,-21.4410247802734
"116",51,-40,-21.5487041473389
"117",53,-40,-21.1483020782471
"118",55,-40,-21.132942199707
"119",57,-40,-21.3109283447266
"120",59,-40,-21.7950229644775
"121",61,-40,-21.8721141815186
"122",63,-40,-21.8229122161865
"123",65,-40,-21.8784084320068
"124",67,-40,-21.8739624023438
"125",69,-40,-21.9520835876465
"126",71,-40,-21.9606800079346
"127",73,-40,-22.2418518066406
"128",75,-40,-22.3120536804199
"129",77,-40,-22.3426551818848
"130",79,-40,-22.4378147125244
"131",81,-40,-22.6359310150146
"132",83,-40,-22.7577476501465
"133",85,-40,-22.9624042510986
"134",87,-40,-23.2919483184814
"135",89,-40,-23.4066638946533
"136",91,-40,-23.5841274261475
"137",93,-40,-23.7280349731445
"138",95,-40,-23.8482093811035
"139",97,-40,-23.9688358306885
"140",99,-40,-24.1347751617432
"141",101,-40,-24.3222827911377
"142",103,-40,-24.3303279876709
"143",105,-40,-24.681079864502
"144",107,-40,-25.1796436309814
"145",109,-40,-25.4219207763672
"146",111,-40,-25.7430648803711
"147",113,-40,-25.3378982543945
"148",115,-40,-24.8314113616943
"149",117,-40,-24.5433578491211
"150",119,-40,-24.5565357208252
"151",121,-40,-24.214656829834
"152",123,-40,-24.141450881958
"153",125,-40,-24.095344543457
"154",127,-40,-23.647928237915
"155",129,-40,-23.2521305084229
"156",131,-40,-22.9768486022949
"157",133,-40,-22.5988521575928
"158",135,-40,-22.1247482299805
"159",137,-40,-21.8061752319336
"160",139,-40,-21.4466915130615
"161",141,-40,-21.0911464691162
"162",143,-40,-20.5701141357422
"163",145,-40,-20.208854675293
"164",147,-40,-20.0552864074707
"165",149,-40,-19.9115562438965
"166",151,-40,-19.9908351898193
"167",153,-40,-20.3339405059814
"168",155,-40,-20.876823425293
"169",157,-40,-21.0504112243652
"170",159,-40,-21.3775444030762
"171",161,-40,-21.180383682251
"172",163,-40,-20.9828701019287
"173",165,-40,-20.6634616851807
"174",167,-40,-20.5144424438477
"175",169,-40,-20.2564868927002
"176",171,-40,-19.9671154022217
"177",173,-40,-20.0284748077393
"178",175,-40,-20.1724433898926
"179",177,-40,-20.1591567993164
"180",179,-40,-20.1479053497314
"181",-179,-41,-20.5378551483154
"182",-177,-41,-20.451810836792
"183",-175,-41,-20.6041450500488
"184",-173,-41,-20.7826652526855
"185",-171,-41,-20.8932704925537
"186",-169,-41,-20.938232421875
"187",-167,-41,-21.0534286499023
"188",-165,-41,-21.3887176513672
"189",-163,-41,-21.7090072631836
"190",-161,-41,-21.7494258880615
"191",-159,-41,-21.9498805999756
"192",-157,-41,-21.9125823974609
"193",-155,-41,-22.1953773498535
"194",-153,-41,-22.3221187591553
"195",-151,-41,-22.4675998687744
"196",-149,-41,-22.5463542938232
"197",-147,-41,-22.7178077697754
"198",-145,-41,-22.8157062530518
"199",-143,-41,-22.8437118530273
"200",-141,-41,-22.9048290252686
"201",-139,-41,-23.2042465209961
"202",-137,-41,-23.2387561798096
"203",-135,-41,-23.1837272644043
"204",-133,-41,-23.2006053924561
"205",-131,-41,-23.2205238342285
"206",-129,-41,-23.1910705566406
"207",-127,-41,-23.1882095336914
"208",-125,-41,-23.1573276519775
"209",-123,-41,-23.2311668395996
"210",-121,-41,-23.1990375518799
"211",-119,-41,-23.2176933288574
"212",-117,-41,-23.1560459136963
"213",-115,-41,-23.1443862915039
"214",-113,-41,-23.2870101928711
"215",-111,-41,-23.1518459320068
"216",-109,-41,-23.0302295684814
"217",-107,-41,-22.9156227111816
"218",-105,-41,-22.8850994110107
"219",-103,-41,-22.8278274536133
"220",-101,-41,-22.7188568115234
"221",-99,-41,-22.6017627716064
"222",-97,-41,-22.4526462554932
"223",-95,-41,-22.3710327148438
"224",-93,-41,-22.2145500183105
"225",-91,-41,-22.1208992004395
"226",-89,-41,-22.0190906524658
"227",-87,-41,-21.9607238769531
"228",-85,-41,-21.8322143554688
"229",-83,-41,-21.6724262237549
"230",-81,-41,-21.5269165039062
"231",-79,-41,-21.3624496459961
"232",-77,-41,-21.1204071044922
"233",-75,-41,-20.4362468719482
"234",-73,-41,NA
"235",-71,-41,NA
"236",-69,-41,-19.767333984375
"237",-67,-41,-19.6370525360107
"238",-65,-41,-19.738317489624
"239",-63,-41,-19.85693359375
"240",-61,-41,-19.9979515075684
"241",-59,-41,-20.349760055542
"242",-57,-41,-20.886058807373
"243",-55,-41,-21.2596664428711
"244",-53,-41,-21.0079975128174
"245",-51,-41,-21.3448925018311
"246",-49,-41,-21.9681396484375
"247",-47,-41,-22.4866161346436
"248",-45,-41,-23.208517074585
"249",-43,-41,-23.7842998504639
"250",-41,-41,-24.1020565032959
"251",-39,-41,-24.100435256958
"252",-37,-41,-23.9813690185547
"253",-35,-41,-24.0323619842529
"254",-33,-41,-24.2377490997314
"255",-31,-41,-24.039379119873
"256",-29,-41,-24.2204608917236
"257",-27,-41,-24.4483222961426
"258",-25,-41,-23.8706645965576
"259",-23,-41,-23.552734375
"260",-21,-41,-23.2397480010986
"261",-19,-41,-22.9003944396973
"262",-17,-41,-22.4720859527588
"263",-15,-41,-22.0335464477539
"264",-13,-41,-21.8255558013916
"265",-11,-41,-21.7140960693359
"266",-9,-41,-21.8357009887695
"267",-7,-41,-22.159158706665
"268",-5,-41,-22.2768306732178
"269",-3,-41,-22.032320022583
"270",-1,-41,-21.9850196838379
"271",1,-41,-22.0720596313477
"272",3,-41,-22.2797260284424
"273",5,-41,-22.520040512085
"274",7,-41,-22.6985893249512
"275",9,-41,-22.9789180755615
"276",11,-41,-22.7858276367188
"277",13,-41,-22.3147373199463
"278",15,-41,-22.4043617248535
"279",17,-41,-22.9008846282959
"280",19,-41,-23.5826721191406
"281",21,-41,-23.7294673919678
"282",23,-41,-23.9253730773926
"283",25,-41,-23.5884685516357
"284",27,-41,-23.1407070159912
"285",29,-41,-22.8751468658447
"286",31,-41,-22.3806934356689
"287",33,-41,-22.3028316497803
"288",35,-41,-22.1607913970947
"289",37,-41,-22.1764335632324
"290",39,-41,-21.9991188049316
"291",41,-41,-21.9806957244873
"292",43,-41,-22.0751342773438
"293",45,-41,-22.0735301971436
"294",47,-41,-21.738317489624
"295",49,-41,-21.9223499298096
"296",51,-41,-22.0542488098145
"297",53,-41,-21.5717277526855
"298",55,-41,-21.4494190216064
"299",57,-41,-21.3849868774414
"300",59,-41,-21.6246700286865
"301",61,-41,-21.8797626495361
"302",63,-41,-21.7441425323486
"303",65,-41,-21.7924118041992
"304",67,-41,-21.8356971740723
"305",69,-41,-22.0486259460449
"306",71,-41,-22.0252132415771
"307",73,-41,-22.1957492828369
"308",75,-41,-22.4182739257812
"309",77,-41,-22.4581813812256
"310",79,-41,-22.4799156188965
"311",81,-41,-22.8045787811279
"312",83,-41,-22.8961410522461
"313",85,-41,-23.1411533355713
"314",87,-41,-23.3761749267578
"315",89,-41,-23.5058841705322
"316",91,-41,-23.670747756958
"317",93,-41,-23.7950744628906
"318",95,-41,-23.9317398071289
"319",97,-41,-24.0881843566895
"320",99,-41,-24.1787166595459
"321",101,-41,-24.2541313171387
"322",103,-41,-24.40846824646
"323",105,-41,-24.7286357879639
"324",107,-41,-25.0906963348389
"325",109,-41,-25.2744159698486
"326",111,-41,-25.4853610992432
"327",113,-41,-25.2786388397217
"328",115,-41,-25.0292568206787
"329",117,-41,-24.830810546875
"330",119,-41,-24.7846431732178
"331",121,-41,-24.3988475799561
"332",123,-41,-24.1037693023682
"333",125,-41,-24.0983753204346
"334",127,-41,-23.8585872650146
"335",129,-41,-23.4674758911133
"336",131,-41,-23.2082386016846
"337",133,-41,-22.8615226745605
"338",135,-41,-22.4798812866211
"339",137,-41,-22.108793258667
"340",139,-41,-21.7621173858643
"341",141,-41,-21.4498977661133
"342",143,-41,-20.9222602844238
"343",145,-41,-20.4830989837646
"344",147,-41,-20.1086254119873
"345",149,-41,-19.9786396026611
"346",151,-41,-20.2412776947021
"347",153,-41,-20.7787590026855
"348",155,-41,-21.3219718933105
"349",157,-41,-21.5600624084473
"350",159,-41,-21.6806755065918
"351",161,-41,-21.4986953735352
"352",163,-41,-21.257287979126
"353",165,-41,-20.9136409759521
"354",167,-41,-20.8786792755127
"355",169,-41,-20.4271755218506
"356",171,-41,-20.0955505371094
"357",173,-41,-19.8100471496582
"358",175,-41,-20.4473476409912
"359",177,-41,-20.3652744293213
"360",179,-41,-20.371187210083
"361",-179,-42,-20.5036678314209
"362",-177,-42,-20.5555095672607
"363",-175,-42,-20.6819534301758
"364",-173,-42,-20.8670673370361
"365",-171,-42,-21.0784797668457
"366",-169,-42,-21.2495632171631
