"","X","Y","Values"
"1",-179,-40,-20.4436855316162
"2",-177,-40,-20.7680587768555
"3",-175,-40,-20.968563079834
"4",-173,-40,-21.0819530487061
"5",-171,-40,-21.2437381744385
"6",-169,-40,-21.3471946716309
"7",-167,-40,-21.4005699157715
"8",-165,-40,-21.4178676605225
"9",-163,-40,-21.4430541992188
"10",-161,-40,-21.4554653167725
"11",-159,-40,-21.5073909759521
"12",-157,-40,-21.4680423736572
"13",-155,-40,-21.5337696075439
"14",-153,-40,-21.5575733184814
"15",-151,-40,-21.6147747039795
"16",-149,-40,-21.6389503479004
"17",-147,-40,-21.7242317199707
"18",-145,-40,-21.7586555480957
"19",-143,-40,-21.8232288360596
"20",-141,-40,-21.7916831970215
"21",-139,-40,-21.9160804748535
"22",-137,-40,-21.8865947723389
"23",-135,-40,-21.9302825927734
"24",-133,-40,-21.9649963378906
"25",-131,-40,-22.0337390899658
"26",-129,-40,-22.0245399475098
"27",-127,-40,-22.0716323852539
"28",-125,-40,-22.0818328857422
"29",-123,-40,-22.0619926452637
"30",-121,-40,-22.025634765625
"31",-119,-40,-22.0536708831787
"32",-117,-40,-22.0536518096924
"33",-115,-40,-22.05006980896
"34",-113,-40,-22.0440979003906
"35",-111,-40,-21.9711894989014
"36",-109,-40,-22.0488033294678
"37",-107,-40,-21.9779396057129
"38",-105,-40,-22.128734588623
"39",-103,-40,-22.1176280975342
"40",-101,-40,-22.1195640563965
"41",-99,-40,-22.1604537963867
"42",-97,-40,-22.2090034484863
"43",-95,-40,-22.0841693878174
"44",-93,-40,-22.0834445953369
"45",-91,-40,-22.0397624969482
"46",-89,-40,-21.9896984100342
"47",-87,-40,-21.9433307647705
"48",-85,-40,-21.8901214599609
"49",-83,-40,-21.828540802002
"50",-81,-40,-21.6369915008545
"51",-79,-40,-21.5041027069092
"52",-77,-40,-21.2365417480469
"53",-75,-40,-20.3192005157471
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,-17.8154754638672
"57",-67,-40,-17.8154754638672
"58",-65,-40,-17.9243640899658
"59",-63,-40,-18.1784629821777
"60",-61,-40,-18.3604106903076
"61",-59,-40,-20.1323375701904
"62",-57,-40,-19.9087753295898
"63",-55,-40,-21.683521270752
"64",-53,-40,-19.8501453399658
"65",-51,-40,-19.525390625
"66",-49,-40,-19.6902027130127
"67",-47,-40,-20.2485237121582
"68",-45,-40,-20.3347148895264
"69",-43,-40,-20.3489227294922
"70",-41,-40,-20.4654960632324
"71",-39,-40,-20.5699253082275
"72",-37,-40,-20.6346092224121
"73",-35,-40,-20.67041015625
"74",-33,-40,-20.6570301055908
"75",-31,-40,-20.6699485778809
"76",-29,-40,-20.8003253936768
"77",-27,-40,-20.8478870391846
"78",-25,-40,-20.9073657989502
"79",-23,-40,-20.9963493347168
"80",-21,-40,-21.1142520904541
"81",-19,-40,-21.2332401275635
"82",-17,-40,-21.3043575286865
"83",-15,-40,-21.3315925598145
"84",-13,-40,-21.5039844512939
"85",-11,-40,-21.7296943664551
"86",-9,-40,-21.8564147949219
"87",-7,-40,-22.0210609436035
"88",-5,-40,-22.2246761322021
"89",-3,-40,-22.179500579834
"90",-1,-40,-22.1906852722168
"91",1,-40,-22.1226100921631
"92",3,-40,-22.1471424102783
"93",5,-40,-22.0576667785645
"94",7,-40,-21.9538879394531
"95",9,-40,-21.8471508026123
"96",11,-40,-21.3979930877686
"97",13,-40,-20.5783367156982
"98",15,-40,-20.266284942627
"99",17,-40,-19.8833255767822
"100",19,-40,-19.3156280517578
"101",21,-40,-19.5502090454102
"102",23,-40,-19.667142868042
"103",25,-40,-19.8344287872314
"104",27,-40,-20.1690807342529
"105",29,-40,-20.0846309661865
"106",31,-40,-19.9342288970947
"107",33,-40,-20.355749130249
"108",35,-40,-20.4233627319336
"109",37,-40,-20.4897003173828
"110",39,-40,-20.4543895721436
"111",41,-40,-20.3429470062256
"112",43,-40,-20.6296062469482
"113",45,-40,-20.8031558990479
"114",47,-40,-20.7900829315186
