"","X","Y","Values"
"1",-179,-40,-22.2918148040771
"2",-177,-40,-21.90549659729
"3",-175,-40,-21.6689682006836
"4",-173,-40,-21.5764007568359
"5",-171,-40,-21.559642791748
"6",-169,-40,-21.4309978485107
"7",-167,-40,-21.2709083557129
"8",-165,-40,-21.2201023101807
"9",-163,-40,-21.3298759460449
"10",-161,-40,-21.4553337097168
"11",-159,-40,-21.5056037902832
"12",-157,-40,-21.5561962127686
"13",-155,-40,-21.7192611694336
"14",-153,-40,-21.848726272583
"15",-151,-40,-21.900562286377
"16",-149,-40,-22.0401515960693
"17",-147,-40,-22.2072582244873
"18",-145,-40,-22.3882923126221
"19",-143,-40,-22.4039783477783
"20",-141,-40,-22.6380596160889
"21",-139,-40,-22.6519756317139
"22",-137,-40,-22.6356868743896
"23",-135,-40,-22.5723743438721
"24",-133,-40,-22.5916080474854
"25",-131,-40,-22.4919853210449
"26",-129,-40,-22.5032577514648
"27",-127,-40,-22.4635219573975
"28",-125,-40,-22.5203895568848
"29",-123,-40,-22.4252948760986
"30",-121,-40,-22.435998916626
"31",-119,-40,-22.3572673797607
"32",-117,-40,-22.3717460632324
"33",-115,-40,-22.419282913208
"34",-113,-40,-22.377649307251
"35",-111,-40,-22.2494888305664
"36",-109,-40,-22.1812477111816
"37",-107,-40,-22.1336250305176
"38",-105,-40,-22.1145210266113
"39",-103,-40,-22.0246429443359
"40",-101,-40,-21.9671897888184
"41",-99,-40,-21.9473094940186
"42",-97,-40,-21.8576755523682
"43",-95,-40,-21.7638397216797
"44",-93,-40,-21.6972007751465
"45",-91,-40,-21.5331039428711
"46",-89,-40,-21.535680770874
"47",-87,-40,-21.4118614196777
"48",-85,-40,-21.3579769134521
"49",-83,-40,-21.3179512023926
"50",-81,-40,-21.2636089324951
"51",-79,-40,-21.2258205413818
"52",-77,-40,-21.2492733001709
"53",-75,-40,-20.8027515411377
"54",-73,-40,-18.3063488006592
"55",-71,-40,NA
"56",-69,-40,-20.5221462249756
"57",-67,-40,-20.5221462249756
"58",-65,-40,-19.6104259490967
"59",-63,-40,-17.6928081512451
"60",-61,-40,-19.874095916748
"61",-59,-40,-19.5344295501709
"62",-57,-40,-18.7617073059082
"63",-55,-40,-21.220682144165
"64",-53,-40,-22.3688507080078
"65",-51,-40,-23.3279800415039
"66",-49,-40,-23.6097526550293
"67",-47,-40,-23.701961517334
"68",-45,-40,-24.0067386627197
"69",-43,-40,-24.3470020294189
"70",-41,-40,-24.4831523895264
"71",-39,-40,-24.6932010650635
"72",-37,-40,-24.2948780059814
"73",-35,-40,-24.4382858276367
"74",-33,-40,-24.272611618042
"75",-31,-40,-24.1113929748535
"76",-29,-40,-24.045337677002
"77",-27,-40,-23.6822185516357
"78",-25,-40,-23.3630638122559
"79",-23,-40,-23.1827011108398
"80",-21,-40,-22.8879432678223
"81",-19,-40,-22.5806674957275
"82",-17,-40,-22.2411937713623
"83",-15,-40,-21.8864650726318
"84",-13,-40,-21.7208614349365
"85",-11,-40,-21.5821304321289
"86",-9,-40,-21.551118850708
"87",-7,-40,-21.8286437988281
"88",-5,-40,-21.9325618743896
"89",-3,-40,-21.7435283660889
"90",-1,-40,-21.6897201538086
"91",1,-40,-21.6949577331543
"92",3,-40,-21.8141441345215
"93",5,-40,-21.9821300506592
"94",7,-40,-22.1039981842041
"95",9,-40,-22.2725925445557
"96",11,-40,-22.3875122070312
"97",13,-40,-22.3562126159668
"98",15,-40,-22.7485618591309
"99",17,-40,-23.2015895843506
"100",19,-40,-23.4737377166748
"101",21,-40,-24.3706035614014
"102",23,-40,-24.9549007415771
"103",25,-40,-24.374870300293
"104",27,-40,-23.8268356323242
"105",29,-40,-23.7813587188721
"106",31,-40,-23.0198745727539
"107",33,-40,-22.9120864868164
"108",35,-40,-22.6354637145996
"109",37,-40,-22.5225086212158
"110",39,-40,-22.3930187225342
"111",41,-40,-22.1114654541016
"112",43,-40,-21.9327621459961
"113",45,-40,-22.0810642242432
"114",47,-40,-22.0739192962646
"115",49,-40,-21.8744525909424
"116",51,-40,-21.9137153625488
"117",53,-40,-22.0718536376953
"118",55,-40,-22.2521266937256
"119",57,-40,-22.4063701629639
"120",59,-40,-22.3076000213623
"121",61,-40,-22.5547943115234
"122",63,-40,-22.6656532287598
"123",65,-40,-22.6072196960449
"124",67,-40,-22.4249858856201
"125",69,-40,-22.4159641265869
"126",71,-40,-22.5166721343994
"127",73,-40,-22.6399326324463
"128",75,-40,-22.7015819549561
"129",77,-40,-22.6755619049072
"130",79,-40,-22.6958446502686
"131",81,-40,-22.7263946533203
"132",83,-40,-22.9412403106689
"133",85,-40,-23.1391201019287
"134",87,-40,-23.2243099212646
"135",89,-40,-23.2085742950439
"136",91,-40,-23.2296466827393
"137",93,-40,-23.2039756774902
"138",95,-40,-23.3036365509033
"139",97,-40,-23.3247718811035
"140",99,-40,-23.3464221954346
"141",101,-40,-23.4009017944336
"142",103,-40,-23.3971996307373
"143",105,-40,-23.5673866271973
"144",107,-40,-23.8757705688477
"145",109,-40,-23.9881153106689
"146",111,-40,-24.1344184875488
"147",113,-40,-24.0201206207275
"148",115,-40,-23.9747371673584
"149",117,-40,-23.8746032714844
"150",119,-40,-23.7902965545654
"151",121,-40,-23.5520191192627
"152",123,-40,-23.3033695220947
"153",125,-40,-23.0926837921143
"154",127,-40,-22.7748126983643
"155",129,-40,-22.5415534973145
"156",131,-40,-22.3604717254639
"157",133,-40,-22.203104019165
"158",135,-40,-22.0023345947266
"159",137,-40,-21.863166809082
"160",139,-40,-21.6006317138672
"161",141,-40,-21.2660961151123
"162",143,-40,-20.9907970428467
"163",145,-40,-20.566822052002
"164",147,-40,-20.607250213623
"165",149,-40,-21.4102935791016
"166",151,-40,-22.1353073120117
"167",153,-40,-22.2545356750488
"168",155,-40,-22.6749134063721
"169",157,-40,-22.8286590576172
"170",159,-40,-23.0625267028809
"171",161,-40,-22.380464553833
"172",163,-40,-21.8735523223877
"173",165,-40,-21.6448192596436
"174",167,-40,-21.2859592437744
"175",169,-40,-20.9071636199951
"176",171,-40,-21.2081642150879
"177",173,-40,-20.9398365020752
"178",175,-40,-21.0913982391357
"179",177,-40,-21.879373550415
"180",179,-40,-22.2101001739502
"181",-179,-41,-22.0873260498047
"182",-177,-41,-21.8977146148682
"183",-175,-41,-21.8644981384277
"184",-173,-41,-21.7630100250244
"185",-171,-41,-21.7302989959717
"186",-169,-41,-21.7014427185059
"187",-167,-41,-21.6290321350098
"188",-165,-41,-21.6266918182373
"189",-163,-41,-21.6941814422607
"190",-161,-41,-21.743444442749
"191",-159,-41,-21.9175624847412
"192",-157,-41,-21.9914665222168
"193",-155,-41,-22.0694942474365
"194",-153,-41,-22.1311206817627
"195",-151,-41,-22.2598400115967
"196",-149,-41,-22.3951168060303
"197",-147,-41,-22.5049819946289
"198",-145,-41,-22.6908187866211
"199",-143,-41,-22.7274036407471
