"","X","Y","Values"
"1",-179,-40,-20.3301677703857
"2",-177,-40,-20.5259799957275
"3",-175,-40,-20.7122173309326
"4",-173,-40,-20.8223438262939
"5",-171,-40,-20.9414863586426
"6",-169,-40,-21.0702934265137
"7",-167,-40,-21.1829357147217
"8",-165,-40,-21.2574901580811
"9",-163,-40,-21.3377132415771
"10",-161,-40,-21.3737678527832
"11",-159,-40,-21.3863544464111
"12",-157,-40,-21.3767127990723
"13",-155,-40,-21.4148006439209
"14",-153,-40,-21.4473991394043
"15",-151,-40,-21.4781761169434
"16",-149,-40,-21.5309886932373
"17",-147,-40,-21.5859413146973
"18",-145,-40,-21.6622276306152
"19",-143,-40,-21.6434516906738
"20",-141,-40,-21.7229690551758
"21",-139,-40,-21.7081336975098
"22",-137,-40,-21.6861133575439
"23",-135,-40,-21.6753616333008
"24",-133,-40,-21.7226314544678
"25",-131,-40,-21.7452487945557
"26",-129,-40,-21.7735118865967
"27",-127,-40,-21.8012981414795
"28",-125,-40,-21.8367881774902
"29",-123,-40,-21.8184413909912
"30",-121,-40,-21.8659610748291
"31",-119,-40,-21.8478717803955
"32",-117,-40,-21.8730049133301
"33",-115,-40,-21.9020843505859
"34",-113,-40,-21.9107494354248
"35",-111,-40,-21.878568649292
"36",-109,-40,-21.8996639251709
"37",-107,-40,-21.9581546783447
"38",-105,-40,-22.0281295776367
"39",-103,-40,-22.0533103942871
"40",-101,-40,-22.0987510681152
"41",-99,-40,-22.1639156341553
"42",-97,-40,-22.137565612793
"43",-95,-40,-22.093921661377
"44",-93,-40,-22.0400886535645
"45",-91,-40,-21.9211177825928
"46",-89,-40,-21.9708671569824
"47",-87,-40,-21.9031391143799
"48",-85,-40,-21.8689651489258
"49",-83,-40,-21.8150444030762
"50",-81,-40,-21.7456741333008
"51",-79,-40,-21.6280918121338
"52",-77,-40,-21.4147338867188
"53",-75,-40,-20.3965587615967
"54",-73,-40,-18.6481189727783
"55",-71,-40,NA
"56",-69,-40,-18.7715015411377
"57",-67,-40,-18.7715015411377
"58",-65,-40,-18.279598236084
"59",-63,-40,-18.6784267425537
"60",-61,-40,-20.0290622711182
"61",-59,-40,-20.4699745178223
"62",-57,-40,-21.5254344940186
"63",-55,-40,-22.4324111938477
"64",-53,-40,-19.9187870025635
"65",-51,-40,-19.6366348266602
"66",-49,-40,-19.8776912689209
"67",-47,-40,-20.3766937255859
"68",-45,-40,-20.7036800384521
"69",-43,-40,-20.7559127807617
"70",-41,-40,-20.7000427246094
"71",-39,-40,-20.6828079223633
"72",-37,-40,-20.6916999816895
"73",-35,-40,-21.0474758148193
"74",-33,-40,-20.9677429199219
"75",-31,-40,-20.9236469268799
"76",-29,-40,-20.9966773986816
"77",-27,-40,-21.0822162628174
"78",-25,-40,-21.1648635864258
"79",-23,-40,-21.2688636779785
"80",-21,-40,-21.3514213562012
"81",-19,-40,-21.4575119018555
"82",-17,-40,-21.52907371521
"83",-15,-40,-21.5875930786133
"84",-13,-40,-21.7682800292969
"85",-11,-40,-21.8420085906982
"86",-9,-40,-21.9658088684082
"87",-7,-40,-22.0800476074219
"88",-5,-40,-22.1335010528564
"89",-3,-40,-22.1853637695312
"90",-1,-40,-22.2020111083984
"91",1,-40,-22.2114658355713
"92",3,-40,-22.187915802002
"93",5,-40,-22.0825157165527
"94",7,-40,-21.9940853118896
"95",9,-40,-21.7800350189209
"96",11,-40,-21.4048080444336
"97",13,-40,-20.7473926544189
"98",15,-40,-20.2034702301025
"99",17,-40,-19.5492839813232
"100",19,-40,-19.4075450897217
"101",21,-40,-19.3591651916504
"102",23,-40,-19.52099609375
"103",25,-40,-19.8042430877686
"104",27,-40,-20.0830459594727
"105",29,-40,-19.7182941436768
"106",31,-40,-19.909984588623
"107",33,-40,-20.2246952056885
"108",35,-40,-20.2376270294189
"109",37,-40,-20.3927211761475
"110",39,-40,-20.5353755950928
"111",41,-40,-20.2385349273682
"112",43,-40,-20.3863143920898
"113",45,-40,-20.5833873748779
"114",47,-40,-20.5219097137451
"115",49,-40,-20.8378124237061
"116",51,-40,-20.8822574615479
"117",53,-40,-20.4608860015869
"118",55,-40,-20.4843368530273
"119",57,-40,-20.4934711456299
"120",59,-40,-20.6680946350098
"121",61,-40,-20.8444862365723
"122",63,-40,-21.0275764465332
"123",65,-40,-21.1266613006592
"124",67,-40,-21.191837310791
"125",69,-40,-21.2916240692139
"126",71,-40,-21.3932609558105
"127",73,-40,-21.4975681304932
"128",75,-40,-21.5735569000244
"129",77,-40,-21.6320648193359
"130",79,-40,-21.7313804626465
"131",81,-40,-21.8023529052734
"132",83,-40,-21.8853435516357
"133",85,-40,-22.0167465209961
"134",87,-40,-22.0790481567383
"135",89,-40,-22.1265716552734
"136",91,-40,-22.1547546386719
"137",93,-40,-22.1847057342529
"138",95,-40,-22.2609767913818
"139",97,-40,-22.2830486297607
"140",99,-40,-22.3008365631104
"141",101,-40,-22.2897968292236
"142",103,-40,-22.2118301391602
"143",105,-40,-22.2112884521484
"144",107,-40,-22.1761856079102
"145",109,-40,-22.0628662109375
"146",111,-40,-21.9953804016113
"147",113,-40,-21.9429416656494
"148",115,-40,-21.7886981964111
"149",117,-40,-21.8030967712402
"150",119,-40,-21.8062381744385
"151",121,-40,-21.7534351348877
"152",123,-40,-21.7536125183105
"153",125,-40,-21.7620658874512
"154",127,-40,-21.7680072784424
"155",129,-40,-21.7550182342529
"156",131,-40,-21.6946201324463
"157",133,-40,-21.6139984130859
"158",135,-40,-21.5406589508057
"159",137,-40,-21.4824695587158
"160",139,-40,-21.2431716918945
"161",141,-40,-20.959077835083
"162",143,-40,-20.7315902709961
"163",145,-40,-19.9710998535156
"164",147,-40,-20.178186416626
"165",149,-40,-19.7059211730957
"166",151,-40,-19.7659549713135
"167",153,-40,-19.9255352020264
"168",155,-40,-20.0278797149658
"169",157,-40,-20.1307029724121
"170",159,-40,-20.3134632110596
"171",161,-40,-20.6005020141602
"172",163,-40,-20.7092952728271
"173",165,-40,-20.7250518798828
"174",167,-40,-20.6669654846191
"175",169,-40,-20.5562686920166
"176",171,-40,-20.2123680114746
"177",173,-40,-19.5393123626709
"178",175,-40,-19.4592571258545
"179",177,-40,-19.9622650146484
"180",179,-40,-20.1272735595703
"181",-179,-41,-20.5044002532959
"182",-177,-41,-20.6175861358643
"183",-175,-41,-20.7950115203857
"184",-173,-41,-20.9355430603027
"185",-171,-41,-21.0574951171875
"186",-169,-41,-21.2383804321289
"187",-167,-41,-21.3567428588867
"188",-165,-41,-21.4762763977051
"189",-163,-41,-21.5672645568848
"190",-161,-41,-21.602632522583
"191",-159,-41,-21.6652851104736
"192",-157,-41,-21.6537284851074
"193",-155,-41,-21.6513557434082
"194",-153,-41,-21.6492099761963
"195",-151,-41,-21.7317867279053
"196",-149,-41,-21.7911567687988
"197",-147,-41,-21.8125305175781
"198",-145,-41,-21.9299449920654
"199",-143,-41,-21.8974742889404
"200",-141,-41,-21.9476490020752
"201",-139,-41,-21.9684066772461
"202",-137,-41,-21.9955615997314
"203",-135,-41,-21.9892711639404
"204",-133,-41,-22.0318145751953
"205",-131,-41,-22.0273475646973
"206",-129,-41,-22.0393409729004
"207",-127,-41,-22.0599040985107
"208",-125,-41,-22.0895690917969
"209",-123,-41,-22.0869464874268
"210",-121,-41,-22.1367073059082
"211",-119,-41,-22.1349658966064
"212",-117,-41,-22.1307525634766
"213",-115,-41,-22.1702823638916
"214",-113,-41,-22.2017936706543
"215",-111,-41,-22.1931247711182
"216",-109,-41,-22.2051372528076
"217",-107,-41,-22.2971267700195
"218",-105,-41,-22.3142833709717
"219",-103,-41,-22.3543300628662
"220",-101,-41,-22.3277053833008
"221",-99,-41,-22.3824920654297
"222",-97,-41,-22.3960971832275
"223",-95,-41,-22.381908416748
"224",-93,-41,-22.3505916595459
"225",-91,-41,-22.2548046112061
"226",-89,-41,-22.2513561248779
"227",-87,-41,-22.2538108825684
"228",-85,-41,-22.1752090454102
"229",-83,-41,-22.0921173095703
"230",-81,-41,-22.0029392242432
"231",-79,-41,-21.8872852325439
"232",-77,-41,-21.6150894165039
"233",-75,-41,-20.4982147216797
"234",-73,-41,NA
"235",-71,-41,NA
"236",-69,-41,-19.0849418640137
"237",-67,-41,-18.7715015411377
"238",-65,-41,-19.2154159545898
"239",-63,-41,-19.6748657226562
"240",-61,-41,-20.2924919128418
"241",-59,-41,-20.8159408569336
"242",-57,-41,-22.502197265625
"243",-55,-41,-21.8600654602051
"244",-53,-41,-20.1439666748047
"245",-51,-41,-20.0999641418457
"246",-49,-41,-20.1571578979492
"247",-47,-41,-20.8456230163574
"248",-45,-41,-21.2663173675537
"249",-43,-41,-21.3485774993896
"250",-41,-41,-21.369234085083
"251",-39,-41,-21.2784080505371
"252",-37,-41,-21.166202545166
"253",-35,-41,-21.3335914611816
"254",-33,-41,-21.5649375915527
"255",-31,-41,-21.382661819458
"256",-29,-41,-21.47141456604
"257",-27,-41,-21.413724899292
"258",-25,-41,-21.5437793731689
"259",-23,-41,-21.6694469451904
"260",-21,-41,-21.8299674987793
"261",-19,-41,-21.9139251708984
"262",-17,-41,-21.8123588562012
"263",-15,-41,-21.7933959960938
"264",-13,-41,-21.9413394927979
"265",-11,-41,-22.1163654327393
"266",-9,-41,-22.2278423309326
"267",-7,-41,-22.347635269165
"268",-5,-41,-22.4153823852539
"269",-3,-41,-22.4589996337891
"270",-1,-41,-22.5067272186279
"271",1,-41,-22.574291229248
"272",3,-41,-22.5803756713867
"273",5,-41,-22.5240821838379
"274",7,-41,-22.4562702178955
"275",9,-41,-22.3446941375732
"276",11,-41,-22.0440464019775
"277",13,-41,-21.4130744934082
"278",15,-41,-20.9111919403076
"279",17,-41,-20.4939384460449
"280",19,-41,-20.5041255950928
"281",21,-41,-20.2939014434814
"282",23,-41,-20.2117786407471
"283",25,-41,-20.4244575500488
"284",27,-41,-20.7454471588135
"285",29,-41,-20.64768409729
"286",31,-41,-20.6991539001465
"287",33,-41,-20.9007263183594
"288",35,-41,-21.2077903747559
"289",37,-41,-21.3645477294922
"290",39,-41,-21.3366947174072
"291",41,-41,-21.3935832977295
"292",43,-41,-21.8330211639404
"293",45,-41,-21.643196105957
"294",47,-41,-21.5082550048828
"295",49,-41,-22.2737255096436
"296",51,-41,-22.0649089813232
"297",53,-41,-21.3556632995605
"298",55,-41,-21.0457172393799
"299",57,-41,-20.7478008270264
"300",59,-41,-20.7734355926514
"301",61,-41,-20.9703159332275
"302",63,-41,-21.1395359039307
"303",65,-41,-21.394645690918
"304",67,-41,-21.4771099090576
"305",69,-41,-21.5292549133301
