"","X","Y","Values"
"1",-179,-40,-20.3725337982178
"2",-177,-40,-20.4279327392578
"3",-175,-40,-20.4062652587891
"4",-173,-40,-20.4897289276123
"5",-171,-40,-20.6222152709961
"6",-169,-40,-20.5454063415527
"7",-167,-40,-20.33669090271
"8",-165,-40,-20.4726619720459
"9",-163,-40,-20.6231708526611
"10",-161,-40,-20.7076263427734
"11",-159,-40,-20.5512351989746
"12",-157,-40,-20.5327663421631
"13",-155,-40,-20.5818977355957
"14",-153,-40,-20.5797443389893
"15",-151,-40,-20.6810665130615
"16",-149,-40,-20.6922607421875
"17",-147,-40,-20.8743686676025
"18",-145,-40,-20.9651470184326
"19",-143,-40,-20.8552074432373
"20",-141,-40,-20.8835296630859
"21",-139,-40,-20.9030723571777
"22",-137,-40,-20.9514198303223
"23",-135,-40,-20.8618621826172
"24",-133,-40,-20.8280239105225
"25",-131,-40,-20.8052253723145
"26",-129,-40,-20.9124221801758
"27",-127,-40,-20.8363494873047
"28",-125,-40,-20.9710311889648
"29",-123,-40,-20.9796772003174
"30",-121,-40,-21.0543193817139
"31",-119,-40,-20.9564743041992
"32",-117,-40,-20.9413051605225
"33",-115,-40,-20.9299774169922
"34",-113,-40,-21.032190322876
"35",-111,-40,-21.0911998748779
"36",-109,-40,-21.1366691589355
"37",-107,-40,-21.0002517700195
"38",-105,-40,-21.1172409057617
"39",-103,-40,-21.0050849914551
"40",-101,-40,-21.0172443389893
"41",-99,-40,-21.0025272369385
"42",-97,-40,-20.9909725189209
"43",-95,-40,-21.0003967285156
"44",-93,-40,-20.9209728240967
"45",-91,-40,-20.9415950775146
"46",-89,-40,-20.9163608551025
"47",-87,-40,-20.7708740234375
"48",-85,-40,-20.7700843811035
"49",-83,-40,-20.8289375305176
"50",-81,-40,-20.8984718322754
"51",-79,-40,-21.1631107330322
"52",-77,-40,-21.2685604095459
"53",-75,-40,-20.997013092041
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,-19.9525451660156
"57",-67,-40,-19.9525451660156
"58",-65,-40,-19.8471965789795
"59",-63,-40,-19.9091396331787
"60",-61,-40,-19.9845886230469
"61",-59,-40,-20.5772228240967
"62",-57,-40,-20.8682556152344
"63",-55,-40,-21.5333480834961
"64",-53,-40,-21.8929691314697
"65",-51,-40,-22.2475185394287
"66",-49,-40,-23.1484203338623
"67",-47,-40,-23.3798961639404
"68",-45,-40,-23.8886699676514
"69",-43,-40,-23.9663124084473
"70",-41,-40,-24.6755847930908
"71",-39,-40,-25.2226810455322
"72",-37,-40,-25.0045433044434
"73",-35,-40,-24.6189002990723
"74",-33,-40,-24.5529689788818
"75",-31,-40,-24.4428958892822
"76",-29,-40,-25.2248611450195
"77",-27,-40,-24.4490203857422
"78",-25,-40,-23.9552898406982
"79",-23,-40,-23.4820308685303
"80",-21,-40,-22.7054996490479
"81",-19,-40,-22.3806476593018
"82",-17,-40,-21.8942260742188
"83",-15,-40,-21.6606311798096
"84",-13,-40,-21.3274116516113
"85",-11,-40,-21.0806827545166
"86",-9,-40,-21.1538772583008
"87",-7,-40,-21.4631156921387
"88",-5,-40,-21.6802368164062
"89",-3,-40,-21.4752769470215
"90",-1,-40,-21.3956184387207
"91",1,-40,-21.3741035461426
"92",3,-40,-21.5024280548096
"93",5,-40,-21.6520671844482
"94",7,-40,-21.8091831207275
"95",9,-40,-21.9782733917236
"96",11,-40,-22.2888660430908
"97",13,-40,-22.6707305908203
"98",15,-40,-22.6158657073975
"99",17,-40,-23.0509815216064
"100",19,-40,-23.2447242736816
"101",21,-40,-23.6675205230713
"102",23,-40,-24.0726928710938
"103",25,-40,-23.7532291412354
"104",27,-40,-23.355978012085
"105",29,-40,-23.0588092803955
"106",31,-40,-22.5485725402832
"107",33,-40,-22.2796249389648
"108",35,-40,-22.0231113433838
"109",37,-40,-21.9825420379639
"110",39,-40,-22.4339694976807
"111",41,-40,-22.2574195861816
"112",43,-40,-22.264087677002
"113",45,-40,-22.4131240844727
"114",47,-40,-22.3653011322021
"115",49,-40,-22.3518142700195
"116",51,-40,-22.2841873168945
"117",53,-40,-22.206470489502
"118",55,-40,-22.3300304412842
"119",57,-40,-22.6278858184814
"120",59,-40,-22.8572082519531
"121",61,-40,-22.7094593048096
"122",63,-40,-22.8445625305176
"123",65,-40,-22.6171913146973
"124",67,-40,-22.1796913146973
"125",69,-40,-21.871997833252
"126",71,-40,-21.8411445617676
"127",73,-40,-21.7955226898193
"128",75,-40,-21.8884010314941
"129",77,-40,-21.9024906158447
"130",79,-40,-22.061071395874
"131",81,-40,-22.1942806243896
"132",83,-40,-22.3251991271973
"133",85,-40,-22.5326595306396
"134",87,-40,-22.3060684204102
"135",89,-40,-22.5440235137939
"136",91,-40,-22.5455741882324
"137",93,-40,-22.5901870727539
"138",95,-40,-22.6699199676514
"139",97,-40,-22.7833366394043
"140",99,-40,-22.7159557342529
"141",101,-40,-22.8081092834473
"142",103,-40,-23.0165557861328
"143",105,-40,-23.0737209320068
"144",107,-40,-22.9793014526367
"145",109,-40,-22.9485950469971
"146",111,-40,-23.4158973693848
"147",113,-40,-23.1866703033447
"148",115,-40,-22.9250411987305
"149",117,-40,-22.976634979248
"150",119,-40,-22.7806930541992
"151",121,-40,-22.5897235870361
"152",123,-40,-22.4222984313965
"153",125,-40,-22.2193126678467
"154",127,-40,-22.0380096435547
"155",129,-40,-21.9299583435059
"156",131,-40,-21.7576484680176
"157",133,-40,-21.4972896575928
"158",135,-40,-21.3958511352539
"159",137,-40,-21.161153793335
"160",139,-40,-20.8351726531982
"161",141,-40,-20.5656242370605
"162",143,-40,-20.1425037384033
"163",145,-40,-19.9070949554443
"164",147,-40,-19.5840663909912
"165",149,-40,-19.7068424224854
"166",151,-40,-19.9588317871094
"167",153,-40,-20.3427715301514
"168",155,-40,-20.6305141448975
"169",157,-40,-21.1691551208496
"170",159,-40,-21.4296226501465
"171",161,-40,-21.2465133666992
"172",163,-40,-20.9800205230713
"173",165,-40,-21.0159549713135
"174",167,-40,-20.4754028320312
"175",169,-40,-19.9649410247803
"176",171,-40,-19.5448989868164
"177",173,-40,-19.9527702331543
"178",175,-40,-19.8810901641846
"179",177,-40,-19.8022613525391
"180",179,-40,-20.0250606536865
"181",-179,-41,-20.4546012878418
"182",-177,-41,-20.4457626342773
"183",-175,-41,-20.5444374084473
"184",-173,-41,-20.6793060302734
"185",-171,-41,-20.7603282928467
"186",-169,-41,-20.875789642334
"187",-167,-41,-20.8662242889404
"188",-165,-41,-21.0059585571289
"189",-163,-41,-21.1134986877441
"190",-161,-41,-21.1608581542969
"191",-159,-41,-21.1934623718262
"192",-157,-41,-21.1907577514648
"193",-155,-41,-21.0672760009766
"194",-153,-41,-21.1242637634277
"195",-151,-41,-21.2954387664795
"196",-149,-41,-21.1467189788818
"197",-147,-41,-21.3214263916016
"198",-145,-41,-21.4442443847656
"199",-143,-41,-21.3466320037842
"200",-141,-41,-21.4394645690918
"201",-139,-41,-21.442850112915
"202",-137,-41,-21.522777557373
"203",-135,-41,-21.5720024108887
"204",-133,-41,-21.4840126037598
