"","X","Y","Values"
"1",-179,-40,0.752317488193512
"2",-177,-40,0.75639533996582
"3",-175,-40,0.759396493434906
"4",-173,-40,0.759547710418701
"5",-171,-40,0.762974500656128
"6",-169,-40,0.766849160194397
"7",-167,-40,0.766756653785706
"8",-165,-40,0.767031848430634
"9",-163,-40,0.766667604446411
"10",-161,-40,0.768676161766052
"11",-159,-40,0.76865166425705
"12",-157,-40,0.767867386341095
"13",-155,-40,0.766364753246307
"14",-153,-40,0.764788210391998
"15",-151,-40,0.764268398284912
"16",-149,-40,0.764031529426575
"17",-147,-40,0.763897657394409
"18",-145,-40,0.763440668582916
"19",-143,-40,0.763031661510468
"20",-141,-40,0.762624740600586
"21",-139,-40,0.762517392635345
"22",-137,-40,0.763821005821228
"23",-135,-40,0.764332830905914
"24",-133,-40,0.763544976711273
"25",-131,-40,0.762757360935211
"26",-129,-40,0.76283586025238
"27",-127,-40,0.763137459754944
"28",-125,-40,0.763601660728455
"29",-123,-40,0.763572871685028
"30",-121,-40,0.764257252216339
"31",-119,-40,0.765027403831482
"32",-117,-40,0.764639019966125
"33",-115,-40,0.764710187911987
"34",-113,-40,0.76408863067627
"35",-111,-40,0.76463258266449
"36",-109,-40,0.764970719814301
"37",-107,-40,0.763567805290222
"38",-105,-40,0.763254702091217
"39",-103,-40,0.764796018600464
"40",-101,-40,0.764107465744019
"41",-99,-40,0.764622569084167
"42",-97,-40,0.764314711093903
"43",-95,-40,0.764995872974396
"44",-93,-40,0.76548820734024
"45",-91,-40,0.76488184928894
"46",-89,-40,0.763546288013458
"47",-87,-40,0.763009488582611
"48",-85,-40,0.762464761734009
"49",-83,-40,0.759593665599823
"50",-81,-40,0.757168412208557
"51",-79,-40,0.754386842250824
"52",-77,-40,0.751086592674255
"53",-75,-40,0.752990126609802
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,0.820411145687103
"57",-67,-40,0.820411145687103
"58",-65,-40,0.813974857330322
"59",-63,-40,0.796533048152924
"60",-61,-40,0.780182301998138
"61",-59,-40,0.754250347614288
"62",-57,-40,0.789792835712433
"63",-55,-40,0.749196588993073
"64",-53,-40,0.754367351531982
"65",-51,-40,0.75406551361084
"66",-49,-40,0.753364443778992
"67",-47,-40,0.754854440689087
"68",-45,-40,0.753988265991211
"69",-43,-40,0.752985298633575
"70",-41,-40,0.754921674728394
"71",-39,-40,0.755800306797028
"72",-37,-40,0.754275679588318
"73",-35,-40,0.752442002296448
"74",-33,-40,0.750350058078766
"75",-31,-40,0.752741992473602
"76",-29,-40,0.75177413225174
"77",-27,-40,0.747862339019775
"78",-25,-40,0.749181091785431
"79",-23,-40,0.747765839099884
"80",-21,-40,0.747292876243591
"81",-19,-40,0.746643304824829
"82",-17,-40,0.746268332004547
"83",-15,-40,0.745889842510223
"84",-13,-40,0.744626760482788
"85",-11,-40,0.744925320148468
"86",-9,-40,0.745331645011902
"87",-7,-40,0.746341288089752
"88",-5,-40,0.747285544872284
"89",-3,-40,0.746170163154602
"90",-1,-40,0.74516499042511
"91",1,-40,0.744374930858612
"92",3,-40,0.744773387908936
"93",5,-40,0.744542121887207
"94",7,-40,0.744511842727661
"95",9,-40,0.743886709213257
"96",11,-40,0.744651734828949
"97",13,-40,0.746754348278046
"98",15,-40,0.74974524974823
"99",17,-40,0.751433610916138
"100",19,-40,0.75467312335968
"101",21,-40,0.754094123840332
"102",23,-40,0.752629637718201
"103",25,-40,0.75184577703476
"104",27,-40,0.749621093273163
"105",29,-40,0.752149641513824
"106",31,-40,0.750972330570221
"107",33,-40,0.750964224338531
"108",35,-40,0.753185749053955
"109",37,-40,0.753184676170349
"110",39,-40,0.754931509494781
"111",41,-40,0.754896700382233
"112",43,-40,0.754396200180054
"113",45,-40,0.75346565246582
"114",47,-40,0.753214597702026
"115",49,-40,0.751323938369751
"116",51,-40,0.752756357192993
"117",53,-40,0.751788675785065
"118",55,-40,0.751151144504547
"119",57,-40,0.749765813350677
"120",59,-40,0.747448205947876
"121",61,-40,0.747588992118835
"122",63,-40,0.74679970741272
"123",65,-40,0.746226668357849
"124",67,-40,0.74683541059494
"125",69,-40,0.74786251783371
"126",71,-40,0.748957812786102
"127",73,-40,0.747517824172974
"128",75,-40,0.748381495475769
"129",77,-40,0.749356746673584
"130",79,-40,0.749581396579742
"131",81,-40,0.750022530555725
"132",83,-40,0.749898672103882
"133",85,-40,0.749312818050385
"134",87,-40,0.747753143310547
"135",89,-40,0.747657716274261
"136",91,-40,0.74715918302536
"137",93,-40,0.746827065944672
"138",95,-40,0.746333062648773
"139",97,-40,0.745169997215271
"140",99,-40,0.745198488235474
"141",101,-40,0.745590686798096
"142",103,-40,0.746528148651123
"143",105,-40,0.745002090930939
"144",107,-40,0.743799090385437
"145",109,-40,0.743572115898132
"146",111,-40,0.743784844875336
"147",113,-40,0.745372951030731
"148",115,-40,0.746231377124786
"149",117,-40,0.746506690979004
"150",119,-40,0.746356010437012
"151",121,-40,0.747575223445892
"152",123,-40,0.74705982208252
"153",125,-40,0.745749890804291
"154",127,-40,0.74617326259613
"155",129,-40,0.746640384197235
"156",131,-40,0.746566653251648
"157",133,-40,0.746612131595612
"158",135,-40,0.747166216373444
"159",137,-40,0.747879505157471
"160",139,-40,0.749002397060394
"161",141,-40,0.750054657459259
"162",143,-40,0.749519884586334
"163",145,-40,0.749672889709473
"164",147,-40,0.750810623168945
"165",149,-40,0.752282559871674
"166",151,-40,0.753943920135498
"167",153,-40,0.755719661712646
"168",155,-40,0.755971670150757
"169",157,-40,0.757070422172546
"170",159,-40,0.75708132982254
"171",161,-40,0.75792670249939
"172",163,-40,0.757496297359467
"173",165,-40,0.760215699672699
"174",167,-40,0.758731842041016
"175",169,-40,0.759875237941742
"176",171,-40,0.75981992483139
"177",173,-40,0.755630373954773
"178",175,-40,0.753605306148529
"179",177,-40,0.749056696891785
"180",179,-40,0.754157066345215
"181",-179,-41,0.748874485492706
"182",-177,-41,0.75139582157135
"183",-175,-41,0.751259922981262
"184",-173,-41,0.753716826438904
"185",-171,-41,0.757966637611389
"186",-169,-41,0.762158989906311
"187",-167,-41,0.76286643743515
"188",-165,-41,0.761390268802643
"189",-163,-41,0.760071396827698
"190",-161,-41,0.761875450611115
"191",-159,-41,0.762424409389496
"192",-157,-41,0.762119889259338
"193",-155,-41,0.761675477027893
"194",-153,-41,0.760926365852356
"195",-151,-41,0.760685384273529
"196",-149,-41,0.760598540306091
"197",-147,-41,0.760006308555603
"198",-145,-41,0.758691370487213
"199",-143,-41,0.758298635482788
"200",-141,-41,0.758752286434174
"201",-139,-41,0.759281098842621
"202",-137,-41,0.75944447517395
"203",-135,-41,0.75933039188385
"204",-133,-41,0.758350312709808
"205",-131,-41,0.758827865123749
"206",-129,-41,0.758028268814087
"207",-127,-41,0.758875906467438
"208",-125,-41,0.759258568286896
"209",-123,-41,0.758773684501648
"210",-121,-41,0.759413242340088
"211",-119,-41,0.759528815746307
"212",-117,-41,0.760183393955231
"213",-115,-41,0.759684145450592
"214",-113,-41,0.758836388587952
"215",-111,-41,0.759126603603363
"216",-109,-41,0.759473502635956
"217",-107,-41,0.759436905384064
"218",-105,-41,0.759241104125977
"219",-103,-41,0.759734272956848
"220",-101,-41,0.760309219360352
"221",-99,-41,0.759126961231232
"222",-97,-41,0.758991003036499
"223",-95,-41,0.760762095451355
"224",-93,-41,0.760601222515106
"225",-91,-41,0.760666847229004
"226",-89,-41,0.759094536304474
"227",-87,-41,0.758770823478699
"228",-85,-41,0.758142054080963
"229",-83,-41,0.757331430912018
"230",-81,-41,0.756054997444153
"231",-79,-41,0.754350006580353
"232",-77,-41,0.749915301799774
"233",-75,-41,0.763296067714691
"234",-73,-41,NA
"235",-71,-41,NA
"236",-69,-41,0.810064554214478
"237",-67,-41,0.820411145687103
"238",-65,-41,0.815996289253235
"239",-63,-41,0.798793375492096
"240",-61,-41,0.769294500350952
"241",-59,-41,0.75789874792099
"242",-57,-41,0.754353225231171
"243",-55,-41,0.748897135257721
"244",-53,-41,0.751673460006714
"245",-51,-41,0.751343846321106
"246",-49,-41,0.75187361240387
"247",-47,-41,0.751627922058105
"248",-45,-41,0.749824166297913
"249",-43,-41,0.74871838092804
"250",-41,-41,0.748852729797363
"251",-39,-41,0.748734831809998
"252",-37,-41,0.749452292919159
"253",-35,-41,0.748328506946564
"254",-33,-41,0.746919214725494
"255",-31,-41,0.747650623321533
"256",-29,-41,0.746589422225952
"257",-27,-41,0.745190501213074
"258",-25,-41,0.745071947574615
"259",-23,-41,0.744279384613037
"260",-21,-41,0.743413031101227
"261",-19,-41,0.743328094482422
"262",-17,-41,0.743165731430054
"263",-15,-41,0.743149876594543
"264",-13,-41,0.742347240447998
"265",-11,-41,0.742189943790436
"266",-9,-41,0.742419183254242
"267",-7,-41,0.742408156394958
"268",-5,-41,0.742769777774811
"269",-3,-41,0.742859840393066
"270",-1,-41,0.742497444152832
"271",1,-41,0.742900192737579
"272",3,-41,0.742398262023926
"273",5,-41,0.741856753826141
"274",7,-41,0.741822481155396
"275",9,-41,0.741531133651733
"276",11,-41,0.742657959461212
"277",13,-41,0.744160354137421
"278",15,-41,0.74508535861969
"279",17,-41,0.746282875537872
"280",19,-41,0.747403204441071
"281",21,-41,0.748189449310303
"282",23,-41,0.748573362827301
"283",25,-41,0.74892920255661
"284",27,-41,0.746341943740845
"285",29,-41,0.746713757514954
"286",31,-41,0.747404038906097
"287",33,-41,0.746703267097473
"288",35,-41,0.746308982372284
"289",37,-41,0.746075809001923
"290",39,-41,0.747600972652435
"291",41,-41,0.748823583126068
"292",43,-41,0.748996376991272
"293",45,-41,0.748852968215942
"294",47,-41,0.750272154808044
"295",49,-41,0.749788284301758
"296",51,-41,0.751506984233856
"297",53,-41,0.751221120357513
"298",55,-41,0.750329971313477
"299",57,-41,0.749256253242493
"300",59,-41,0.746507823467255
"301",61,-41,0.745124995708466
"302",63,-41,0.744778096675873
"303",65,-41,0.744048774242401
"304",67,-41,0.743906915187836
"305",69,-41,0.743614315986633
"306",71,-41,0.744069039821625
"307",73,-41,0.744374930858612
"308",75,-41,0.744919002056122
"309",77,-41,0.74651312828064
"310",79,-41,0.746872901916504
"311",81,-41,0.747540950775146
"312",83,-41,0.747269630432129
"313",85,-41,0.746194183826447
"314",87,-41,0.745598435401917
"315",89,-41,0.745573759078979
"316",91,-41,0.745372712612152
"317",93,-41,0.744507491588593
"318",95,-41,0.743430078029633
"319",97,-41,0.742768585681915
"320",99,-41,0.742392778396606
"321",101,-41,0.74273419380188
"322",103,-41,0.743384540081024
"323",105,-41,0.742845416069031
"324",107,-41,0.742089688777924
"325",109,-41,0.742070555686951
"326",111,-41,0.741963922977448
"327",113,-41,0.742706060409546
"328",115,-41,0.743310511112213
"329",117,-41,0.743504345417023
"330",119,-41,0.743969798088074
"331",121,-41,0.744888722896576
"332",123,-41,0.745338201522827
"333",125,-41,0.744139432907104
"334",127,-41,0.743576407432556
"335",129,-41,0.744061827659607
"336",131,-41,0.74369078874588
"337",133,-41,0.743903517723083
"338",135,-41,0.744555413722992
"339",137,-41,0.744767069816589
"340",139,-41,0.745381832122803
"341",141,-41,0.745760560035706
"342",143,-41,0.746702194213867
"343",145,-41,0.747280240058899
"344",147,-41,0.757438063621521
"345",149,-41,0.74983161687851
"346",151,-41,0.751110017299652
"347",153,-41,0.750711023807526
"348",155,-41,0.750691890716553
"349",157,-41,0.751307964324951
"350",159,-41,0.752535581588745
"351",161,-41,0.752656102180481
"352",163,-41,0.752563238143921
"353",165,-41,0.754352033138275
"354",167,-41,0.753109335899353
"355",169,-41,0.757584095001221
"356",171,-41,0.752695083618164
"357",173,-41,0.767490684986115
"358",175,-41,0.75146609544754
"359",177,-41,0.748229503631592
"360",179,-41,0.749971628189087
"361",-179,-42,0.746483087539673
"362",-177,-42,0.746293783187866
"363",-175,-42,0.746743381023407
"364",-173,-42,0.748562216758728
"365",-171,-42,0.752225995063782
"366",-169,-42,0.755721151828766
"367",-167,-42,0.756368279457092
"368",-165,-42,0.755801737308502
"369",-163,-42,0.755447506904602
"370",-161,-42,0.756298005580902
"371",-159,-42,0.7569859623909
"372",-157,-42,0.757424592971802
"373",-155,-42,0.757079005241394
"374",-153,-42,0.757722020149231
"375",-151,-42,0.757324039936066
"376",-149,-42,0.756968259811401
"377",-147,-42,0.755786955356598
"378",-145,-42,0.754784882068634
"379",-143,-42,0.755277633666992
"380",-141,-42,0.755369126796722
"381",-139,-42,0.7547807097435
"382",-137,-42,0.755013644695282
"383",-135,-42,0.756299555301666
"384",-133,-42,0.754899442195892
"385",-131,-42,0.754844605922699
"386",-129,-42,0.75418895483017
"387",-127,-42,0.754817366600037
"388",-125,-42,0.75539618730545
"389",-123,-42,0.754979193210602
"390",-121,-42,0.755469501018524
"391",-119,-42,0.755252778530121
"392",-117,-42,0.755227267742157
"393",-115,-42,0.754626870155334
"394",-113,-42,0.753726303577423
"395",-111,-42,0.754063785076141
"396",-109,-42,0.754263818264008
"397",-107,-42,0.754724204540253
"398",-105,-42,0.755246460437775
"399",-103,-42,0.755250871181488
"400",-101,-42,0.756578385829926
"401",-99,-42,0.75543338060379
"402",-97,-42,0.755564749240875
"403",-95,-42,0.757366180419922
"404",-93,-42,0.757341861724854
"405",-91,-42,0.757314324378967
"406",-89,-42,0.756037175655365
"407",-87,-42,0.755583047866821
"408",-85,-42,0.755038797855377
"409",-83,-42,0.754667222499847
"410",-81,-42,0.754055559635162
"411",-79,-42,0.75224894285202
"412",-77,-42,0.747533023357391
"413",-75,-42,0.774598836898804
"414",-73,-42,NA
"415",-71,-42,NA
"416",-69,-42,0.799164593219757
