"","X","Y","Values"
"1",-179,-40,0.319487541913986
"2",-177,-40,0.319505125284195
"3",-175,-40,0.319874882698059
"4",-173,-40,0.320402652025223
"5",-171,-40,0.321190416812897
"6",-169,-40,0.322868496179581
"7",-167,-40,0.324747651815414
"8",-165,-40,0.324764430522919
"9",-163,-40,0.32485818862915
"10",-161,-40,0.325091958045959
"11",-159,-40,0.325733751058578
"12",-157,-40,0.325927197933197
"13",-155,-40,0.325909376144409
"14",-153,-40,0.32605504989624
"15",-151,-40,0.326148629188538
"16",-149,-40,0.326621621847153
"17",-147,-40,0.326578229665756
"18",-145,-40,0.326197475194931
"19",-143,-40,0.326341331005096
"20",-141,-40,0.326490640640259
"21",-139,-40,0.326572805643082
"22",-137,-40,0.326817065477371
"23",-135,-40,0.32673642039299
"24",-133,-40,0.327133536338806
"25",-131,-40,0.327167183160782
"26",-129,-40,0.327434599399567
"27",-127,-40,0.32753998041153
"28",-125,-40,0.327322602272034
"29",-123,-40,0.327181220054626
"30",-121,-40,0.326765894889832
"31",-119,-40,0.326756775379181
"32",-117,-40,0.326366931200027
"33",-115,-40,0.325750023126602
"34",-113,-40,0.325743526220322
"35",-111,-40,0.324904024600983
"36",-109,-40,0.324454754590988
"37",-107,-40,0.32437339425087
"38",-105,-40,0.324127286672592
"39",-103,-40,0.324388951063156
"40",-101,-40,0.324410140514374
"41",-99,-40,0.324149310588837
"42",-97,-40,0.323439300060272
"43",-95,-40,0.323110461235046
"44",-93,-40,0.32262310385704
"45",-91,-40,0.322485625743866
"46",-89,-40,0.321720093488693
"47",-87,-40,0.321980476379395
"48",-85,-40,0.321832746267319
"49",-83,-40,0.320773005485535
"50",-81,-40,0.319636255502701
"51",-79,-40,0.315714865922928
"52",-77,-40,0.313415437936783
"53",-75,-40,0.320039868354797
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,0.330408304929733
"57",-67,-40,0.330408304929733
"58",-65,-40,0.331845492124557
"59",-63,-40,0.33213397860527
"60",-61,-40,0.333066523075104
"61",-59,-40,0.364576280117035
"62",-57,-40,0.330040246248245
"63",-55,-40,0.317977845668793
"64",-53,-40,0.326502442359924
"65",-51,-40,0.322799235582352
"66",-49,-40,0.321403115987778
"67",-47,-40,0.319027453660965
"68",-45,-40,0.316750586032867
"69",-43,-40,0.316229373216629
"70",-41,-40,0.315365076065063
"71",-39,-40,0.314914047718048
"72",-37,-40,0.314435422420502
"73",-35,-40,0.312717139720917
"74",-33,-40,0.313056468963623
"75",-31,-40,0.312267452478409
"76",-29,-40,0.311675876379013
"77",-27,-40,0.311903685331345
"78",-25,-40,0.311684429645538
"79",-23,-40,0.312077283859253
"80",-21,-40,0.312838613986969
"81",-19,-40,0.312479853630066
"82",-17,-40,0.312321066856384
"83",-15,-40,0.311560213565826
"84",-13,-40,0.312363713979721
"85",-11,-40,0.312071591615677
"86",-9,-40,0.31169193983078
"87",-7,-40,0.312476128339767
"88",-5,-40,0.312546730041504
"89",-3,-40,0.312704294919968
"90",-1,-40,0.312956809997559
"91",1,-40,0.312722086906433
"92",3,-40,0.312363713979721
"93",5,-40,0.312496781349182
"94",7,-40,0.312399119138718
"95",9,-40,0.311393916606903
"96",11,-40,0.311564564704895
"97",13,-40,0.313666880130768
"98",15,-40,0.316646426916122
"99",17,-40,0.318085581064224
"100",19,-40,0.319740295410156
"101",21,-40,0.318834036588669
"102",23,-40,0.31880310177803
"103",25,-40,0.319016933441162
"104",27,-40,0.317354559898376
"105",29,-40,0.315899074077606
"106",31,-40,0.31561753153801
"107",33,-40,0.314924538135529
"108",35,-40,0.316125392913818
"109",37,-40,0.314680188894272
"110",39,-40,0.31335261464119
"111",41,-40,0.313745141029358
"112",43,-40,0.313303112983704
"113",45,-40,0.313151657581329
"114",47,-40,0.31287893652916
"115",49,-40,0.310482323169708
"116",51,-40,0.311187386512756
"117",53,-40,0.311852633953094
"118",55,-40,0.311841428279877
"119",57,-40,0.31459903717041
"120",59,-40,0.315636217594147
"121",61,-40,0.314968526363373
"122",63,-40,0.313148885965347
"123",65,-40,0.311413049697876
"124",67,-40,0.311081975698471
"125",69,-40,0.311797171831131
"126",71,-40,0.311639457941055
"127",73,-40,0.311996877193451
"128",75,-40,0.312393426895142
"129",77,-40,0.313467532396317
"130",79,-40,0.312915831804276
"131",81,-40,0.313115745782852
"132",83,-40,0.313198179006577
"133",85,-40,0.31322979927063
"134",87,-40,0.313998997211456
"135",89,-40,0.313238501548767
"136",91,-40,0.312510281801224
"137",93,-40,0.312832444906235
"138",95,-40,0.313231527805328
"139",97,-40,0.313287556171417
"140",99,-40,0.314018100500107
"141",101,-40,0.314041316509247
"142",103,-40,0.314275652170181
"143",105,-40,0.314555555582047
"144",107,-40,0.315163016319275
"145",109,-40,0.315980166196823
"146",111,-40,0.315284818410873
"147",113,-40,0.316213816404343
"148",115,-40,0.316540479660034
"149",117,-40,0.317124277353287
"150",119,-40,0.317469298839569
"151",121,-40,0.317649066448212
"152",123,-40,0.31792089343071
"153",125,-40,0.317871987819672
"154",127,-40,0.317842602729797
"155",129,-40,0.317766129970551
"156",131,-40,0.3177310526371
