"","X","Y","Values"
"1",-179,-40,2.7152693271637
"2",-177,-40,2.18004989624023
"3",-175,-40,2.04963445663452
"4",-173,-40,2.01777577400208
"5",-171,-40,1.62226760387421
"6",-169,-40,1.12453305721283
"7",-167,-40,0.734208047389984
"8",-165,-40,0.619503557682037
"9",-163,-40,0.407904505729675
"10",-161,-40,-0.0461768433451653
"11",-159,-40,-0.380676925182343
"12",-157,-40,-0.720010578632355
"13",-155,-40,-0.971759498119354
"14",-153,-40,-1.27986752986908
"15",-151,-40,-1.54012870788574
"16",-149,-40,-1.81815254688263
"17",-147,-40,-2.16157245635986
"18",-145,-40,-2.53042364120483
"19",-143,-40,-2.8116500377655
"20",-141,-40,-3.02782845497131
"21",-139,-40,-3.25445222854614
"22",-137,-40,-3.55691313743591
"23",-135,-40,-3.54168152809143
"24",-133,-40,-3.54764223098755
"25",-131,-40,-3.5063533782959
"26",-129,-40,-3.38042211532593
"27",-127,-40,-3.33047366142273
"28",-125,-40,-3.40196371078491
"29",-123,-40,-3.41002011299133
"30",-121,-40,-3.41887402534485
"31",-119,-40,-3.46880745887756
"32",-117,-40,-3.46979808807373
"33",-115,-40,-3.48680758476257
"34",-113,-40,-3.35815620422363
"35",-111,-40,-3.1100287437439
"36",-109,-40,-2.9803774356842
"37",-107,-40,-2.67285537719727
"38",-105,-40,-2.45983958244324
"39",-103,-40,-2.15464282035828
"40",-101,-40,-1.89650642871857
"41",-99,-40,-1.62923312187195
"42",-97,-40,-1.34234893321991
"43",-95,-40,-1.06651651859283
"44",-93,-40,-0.763977646827698
"45",-91,-40,-0.450124621391296
"46",-89,-40,-0.0986073240637779
"47",-87,-40,0.225321054458618
"48",-85,-40,0.566774904727936
"49",-83,-40,0.919931709766388
"50",-81,-40,1.53686285018921
"51",-79,-40,2.42868947982788
"52",-77,-40,3.24701905250549
"53",-75,-40,6.28935527801514
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,7.96234512329102
"57",-67,-40,7.96234512329102
"58",-65,-40,8.37467575073242
"59",-63,-40,9.25478458404541
"60",-61,-40,8.7564582824707
"61",-59,-40,6.85126066207886
"62",-57,-40,8.59543895721436
"63",-55,-40,6.87306785583496
"64",-53,-40,6.68234443664551
"65",-51,-40,5.03528118133545
"66",-49,-40,3.83485269546509
"67",-47,-40,3.19723010063171
"68",-45,-40,3.07287096977234
"69",-43,-40,2.32956218719482
"70",-41,-40,1.94277513027191
"71",-39,-40,1.77047002315521
"72",-37,-40,2.03116965293884
"73",-35,-40,1.93817329406738
"74",-33,-40,2.0250198841095
"75",-31,-40,1.8299548625946
"76",-29,-40,1.33122158050537
"77",-27,-40,1.82915616035461
"78",-25,-40,2.02013516426086
"79",-23,-40,2.17701244354248
"80",-21,-40,2.41052007675171
"81",-19,-40,2.4092743396759
"82",-17,-40,2.90887880325317
"83",-15,-40,3.40706253051758
"84",-13,-40,3.50737881660461
"85",-11,-40,3.71844434738159
"86",-9,-40,3.48050594329834
"87",-7,-40,3.04923391342163
"88",-5,-40,2.72694849967957
"89",-3,-40,3.03661894798279
"90",-1,-40,3.11534547805786
"91",1,-40,3.01008057594299
"92",3,-40,2.7446756362915
"93",5,-40,2.63755989074707
"94",7,-40,2.40461468696594
"95",9,-40,2.42299008369446
"96",11,-40,2.53592491149902
"97",13,-40,3.39888501167297
"98",15,-40,3.99113416671753
"99",17,-40,4.26090478897095
"100",19,-40,4.38503170013428
"101",21,-40,4.19414281845093
"102",23,-40,3.68481731414795
"103",25,-40,3.05762529373169
"104",27,-40,2.73781275749207
"105",29,-40,2.85103988647461
"106",31,-40,3.08942222595215
"107",33,-40,2.97620844841003
"108",35,-40,3.01332974433899
"109",37,-40,3.02975249290466
"110",39,-40,2.86818313598633
"111",41,-40,3.13313889503479
