"","X","Y","Values"
"1",-179,-40,3.25871753692627
"2",-177,-40,2.99562621116638
"3",-175,-40,2.90468239784241
"4",-173,-40,2.81970572471619
"5",-171,-40,2.59827136993408
"6",-169,-40,2.34340620040894
"7",-167,-40,2.10224747657776
"8",-165,-40,2.05990839004517
"9",-163,-40,1.95658564567566
"10",-161,-40,1.71459257602692
"11",-159,-40,1.49379301071167
"12",-157,-40,1.27818942070007
"13",-155,-40,1.13846731185913
"14",-153,-40,0.967705309391022
"15",-151,-40,0.788719356060028
"16",-149,-40,0.59686815738678
"17",-147,-40,0.427574336528778
"18",-145,-40,0.224188268184662
"19",-143,-40,-0.0104876421391964
"20",-141,-40,-0.273303836584091
"21",-139,-40,-0.517527401447296
"22",-137,-40,-0.672298908233643
"23",-135,-40,-0.723483145236969
"24",-133,-40,-0.679645538330078
"25",-131,-40,-0.655966222286224
"26",-129,-40,-0.680047631263733
"27",-127,-40,-0.694155156612396
"28",-125,-40,-0.599856734275818
"29",-123,-40,-0.558695137500763
"30",-121,-40,-0.538600027561188
"31",-119,-40,-0.512165427207947
"32",-117,-40,-0.54232257604599
"33",-115,-40,-0.500153720378876
"34",-113,-40,-0.424566209316254
"35",-111,-40,-0.291068881750107
"36",-109,-40,-0.106660656630993
"37",-107,-40,0.00753956055268645
"38",-105,-40,0.226636201143265
"39",-103,-40,0.364953070878983
"40",-101,-40,0.559230268001556
"41",-99,-40,0.74248856306076
"42",-97,-40,0.885458171367645
"43",-95,-40,1.03070652484894
"44",-93,-40,1.17111301422119
"45",-91,-40,1.37710797786713
"46",-89,-40,1.58374166488647
"47",-87,-40,1.77894103527069
"48",-85,-40,1.96991109848022
"49",-83,-40,2.14330697059631
"50",-81,-40,2.46210765838623
"51",-79,-40,2.9389533996582
"52",-77,-40,3.39308071136475
"53",-75,-40,5.35724782943726
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,6.50917196273804
"57",-67,-40,6.50917196273804
"58",-65,-40,6.81894540786743
"59",-63,-40,7.57635688781738
"60",-61,-40,6.81892156600952
"61",-59,-40,5.85600137710571
"62",-57,-40,7.303635597229
"63",-55,-40,6.07534313201904
"64",-53,-40,5.3935923576355
"65",-51,-40,4.4481520652771
"66",-49,-40,3.83339142799377
"67",-47,-40,3.54427599906921
"68",-45,-40,3.54389238357544
"69",-43,-40,3.07948851585388
"70",-41,-40,2.80444478988647
"71",-39,-40,2.51151442527771
"72",-37,-40,2.7195417881012
"73",-35,-40,2.75776338577271
"74",-33,-40,2.66979002952576
"75",-31,-40,2.41905903816223
"76",-29,-40,2.06682157516479
"77",-27,-40,2.41976475715637
"78",-25,-40,2.52702450752258
"79",-23,-40,2.60711359977722
"80",-21,-40,2.8101794719696
"81",-19,-40,2.76302862167358
"82",-17,-40,2.94969463348389
"83",-15,-40,3.19538545608521
"84",-13,-40,3.33028221130371
"85",-11,-40,3.50454139709473
"86",-9,-40,3.37835550308228
"87",-7,-40,3.09713387489319
"88",-5,-40,2.88007068634033
"89",-3,-40,3.00184082984924
"90",-1,-40,3.02026128768921
"91",1,-40,3.03517150878906
"92",3,-40,2.87336492538452
"93",5,-40,2.74594020843506
"94",7,-40,2.48129606246948
"95",9,-40,2.30209946632385
"96",11,-40,2.25281596183777
"97",13,-40,2.51969790458679
"98",15,-40,2.58159327507019
"99",17,-40,3.0667564868927
"100",19,-40,3.25836086273193
"101",21,-40,3.23842072486877
"102",23,-40,3.04867339134216
"103",25,-40,3.05053019523621
"104",27,-40,3.06559562683105
"105",29,-40,3.09053707122803
"106",31,-40,2.96120762825012
"107",33,-40,3.17753672599792
"108",35,-40,3.21462917327881
"109",37,-40,3.25000548362732
"110",39,-40,3.21242260932922
"111",41,-40,3.37965488433838
"112",43,-40,3.10845255851746
"113",45,-40,3.09020900726318
"114",47,-40,2.89520668983459
"115",49,-40,2.93652009963989
"116",51,-40,2.96400094032288
"117",53,-40,2.42856335639954
"118",55,-40,2.47882604598999
"119",57,-40,2.35955405235291
"120",59,-40,2.36837267875671
"121",61,-40,2.42556548118591
"122",63,-40,2.82086730003357
"123",65,-40,2.91874837875366
"124",67,-40,2.82057428359985
"125",69,-40,2.73863005638123
"126",71,-40,2.61649417877197
"127",73,-40,2.55982041358948
"128",75,-40,2.42913460731506
"129",77,-40,2.22419095039368
"130",79,-40,2.08967232704163
"131",81,-40,1.87776505947113
"132",83,-40,1.72908210754395
"133",85,-40,1.49729239940643
"134",87,-40,1.31696975231171
"135",89,-40,1.15785717964172
"136",91,-40,0.995326101779938
"137",93,-40,0.846185028553009
"138",95,-40,0.647666752338409
"139",97,-40,0.499190241098404
"140",99,-40,0.321989566087723
"141",101,-40,0.161936372518539
"142",103,-40,0.0303394142538309
"143",105,-40,-0.0693676918745041
"144",107,-40,-0.172656923532486
"145",109,-40,-0.22835972905159
"146",111,-40,-0.179946795105934
"147",113,-40,0.0754636377096176
"148",115,-40,0.341836661100388
"149",117,-40,0.748265206813812
"150",119,-40,0.902682363986969
"151",121,-40,1.11538684368134
"152",123,-40,1.32726168632507
"153",125,-40,1.50483107566833
"154",127,-40,1.75111079216003
