"","X","Y","Values"
"1",-179,-40,2.92579412460327
"2",-177,-40,2.29460716247559
"3",-175,-40,2.15699553489685
"4",-173,-40,2.1689760684967
"5",-171,-40,1.77064204216003
"6",-169,-40,1.34304332733154
"7",-167,-40,1.15231585502625
"8",-165,-40,1.08292901515961
"9",-163,-40,0.944652616977692
"10",-161,-40,0.700907647609711
"11",-159,-40,0.601673185825348
"12",-157,-40,0.339392125606537
"13",-155,-40,0.239254221320152
"14",-153,-40,0.0570592097938061
"15",-151,-40,-0.0736179351806641
"16",-149,-40,-0.249464824795723
"17",-147,-40,-0.432558685541153
"18",-145,-40,-0.650138258934021
"19",-143,-40,-0.853797316551208
"20",-141,-40,-0.99542760848999
"21",-139,-40,-1.14613282680511
"22",-137,-40,-1.29146003723145
"23",-135,-40,-1.28922998905182
"24",-133,-40,-1.28095710277557
"25",-131,-40,-1.2739884853363
"26",-129,-40,-1.27050828933716
"27",-127,-40,-1.25156629085541
"28",-125,-40,-1.22336900234222
"29",-123,-40,-1.19243717193604
"30",-121,-40,-1.14357459545135
"31",-119,-40,-1.11345767974854
"32",-117,-40,-1.17629480361938
"33",-115,-40,-1.17830049991608
"34",-113,-40,-1.10156404972076
"35",-111,-40,-0.98194420337677
"36",-109,-40,-0.862924158573151
"37",-107,-40,-0.752280533313751
"38",-105,-40,-0.602603077888489
"39",-103,-40,-0.437523365020752
"40",-101,-40,-0.295165926218033
"41",-99,-40,-0.151731103658676
"42",-97,-40,-0.01501031126827
"43",-95,-40,0.159639552235603
"44",-93,-40,0.316180944442749
"45",-91,-40,0.494117259979248
"46",-89,-40,0.680310070514679
"47",-87,-40,0.835726320743561
"48",-85,-40,1.01023066043854
"49",-83,-40,1.25328707695007
"50",-81,-40,1.69346034526825
"51",-79,-40,2.11929941177368
"52",-77,-40,2.85678195953369
"53",-75,-40,6.20570373535156
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,10.6475925445557
"57",-67,-40,10.6475925445557
"58",-65,-40,10.5188694000244
