"","X","Y","Values"
"1",-179,-40,2.89842915534973
"2",-177,-40,2.26985859870911
"3",-175,-40,2.13330101966858
"4",-173,-40,2.14525198936462
"5",-171,-40,1.74807977676392
"6",-169,-40,1.32153713703156
"7",-167,-40,1.13085472583771
"8",-165,-40,1.06115746498108
"9",-163,-40,0.922674834728241
"10",-161,-40,0.679109454154968
"11",-159,-40,0.579646706581116
"12",-157,-40,0.317242860794067
"13",-155,-40,0.21678501367569
"14",-153,-40,0.0343508869409561
"15",-151,-40,-0.0965228527784348
"16",-149,-40,-0.272515565156937
"17",-147,-40,-0.455596089363098
"18",-145,-40,-0.673222124576569
"19",-143,-40,-0.876888573169708
"20",-141,-40,-1.01887619495392
"21",-139,-40,-1.16954684257507
"22",-137,-40,-1.31507217884064
"23",-135,-40,-1.31274926662445
"24",-133,-40,-1.30438470840454
"25",-131,-40,-1.29726374149323
"26",-129,-40,-1.29373741149902
"27",-127,-40,-1.27465867996216
"28",-125,-40,-1.24642932415009
"29",-123,-40,-1.2155956029892
"30",-121,-40,-1.1668655872345
"31",-119,-40,-1.13671123981476
"32",-117,-40,-1.19947195053101
"33",-115,-40,-1.20144355297089
"34",-113,-40,-1.12474226951599
"35",-111,-40,-1.00508201122284
"36",-109,-40,-0.885613918304443
"37",-107,-40,-0.774968802928925
"38",-105,-40,-0.624807775020599
"39",-103,-40,-0.459430605173111
"40",-101,-40,-0.316872805356979
"41",-99,-40,-0.173061072826385
"42",-97,-40,-0.0359988734126091
"43",-95,-40,0.138611346483231
"44",-93,-40,0.295401483774185
"45",-91,-40,0.473354786634445
"46",-89,-40,0.659485399723053
"47",-87,-40,0.814983010292053
"48",-85,-40,0.989501178264618
"49",-83,-40,1.23221302032471
"50",-81,-40,1.67132306098938
"51",-79,-40,2.09618139266968
"52",-77,-40,2.83147311210632
"53",-75,-40,6.168372631073
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,10.5912818908691
"57",-67,-40,10.5912818908691
"58",-65,-40,10.4635095596313
"59",-63,-40,9.93197345733643
"60",-61,-40,8.65279865264893
"61",-59,-40,6.34289503097534
"62",-57,-40,8.96037864685059
"63",-55,-40,4.64099979400635
"64",-53,-40,4.520592212677
"65",-51,-40,3.66566038131714
"66",-49,-40,3.77162051200867
"67",-47,-40,3.56392598152161
"68",-45,-40,3.407555103302
"69",-43,-40,3.05059671401978
"70",-41,-40,2.42351913452148
"71",-39,-40,2.07987189292908
"72",-37,-40,2.18539023399353
"73",-35,-40,2.20642304420471
"74",-33,-40,2.32597231864929
"75",-31,-40,1.84791648387909
"76",-29,-40,1.63894236087799
"77",-27,-40,2.28918480873108
"78",-25,-40,2.18339800834656
"79",-23,-40,2.38256597518921
"80",-21,-40,2.70072603225708
"81",-19,-40,2.80286741256714
"82",-17,-40,2.91808915138245
"83",-15,-40,3.11466097831726
"84",-13,-40,3.3559455871582
"85",-11,-40,3.39055156707764
"86",-9,-40,3.30979013442993
"87",-7,-40,2.82814931869507
"88",-5,-40,2.45990204811096
"89",-3,-40,2.53513789176941
"90",-1,-40,2.60736799240112
"91",1,-40,2.79099774360657
"92",3,-40,2.66655492782593
"93",5,-40,2.52775239944458
"94",7,-40,2.36663699150085
"95",9,-40,2.28619408607483
"96",11,-40,2.39689254760742
"97",13,-40,2.86849069595337
"98",15,-40,3.11618542671204
"99",17,-40,3.54423975944519
"100",19,-40,4.24505996704102
"101",21,-40,4.03947257995605
"102",23,-40,3.74978446960449
"103",25,-40,3.31535744667053
"104",27,-40,3.06057071685791
"105",29,-40,3.15869164466858
"106",31,-40,2.94887137413025
"107",33,-40,3.01413512229919
"108",35,-40,3.02253317832947
"109",37,-40,3.01197671890259
"110",39,-40,2.85772943496704
"111",41,-40,2.86383104324341
"112",43,-40,2.76782536506653
"113",45,-40,2.8064546585083
"114",47,-40,2.64257049560547
"115",49,-40,2.66595506668091
"116",51,-40,2.52480244636536
"117",53,-40,2.28270435333252
"118",55,-40,2.06170725822449
"119",57,-40,1.81050074100494
"120",59,-40,1.89546501636505
"121",61,-40,1.92410099506378
"122",63,-40,2.00242018699646
"123",65,-40,2.26982402801514
"124",67,-40,2.29934310913086
"125",69,-40,2.33843612670898
"126",71,-40,2.16755867004395
"127",73,-40,2.12751984596252
"128",75,-40,1.95091140270233
"129",77,-40,1.74107146263123
"130",79,-40,1.44455051422119
"131",81,-40,1.23188030719757
"132",83,-40,1.11031985282898
"133",85,-40,0.915458679199219
"134",87,-40,0.849697470664978
"135",89,-40,0.706910848617554
"136",91,-40,0.568425416946411
"137",93,-40,0.438011944293976
"138",95,-40,0.232229053974152
"139",97,-40,0.000636948039755225
"140",99,-40,-0.0644403100013733
"141",101,-40,-0.127129122614861
"142",103,-40,-0.264696955680847
"143",105,-40,-0.312109410762787
"144",107,-40,-0.30601954460144
"145",109,-40,-0.329625129699707
"146",111,-40,-0.124123930931091
"147",113,-40,0.0539893880486488
"148",115,-40,0.133755773305893
"149",117,-40,0.308989882469177
"150",119,-40,0.677277386188507
"151",121,-40,0.829686164855957
"152",123,-40,1.17720556259155
"153",125,-40,1.52505719661713
"154",127,-40,1.58135104179382
"155",129,-40,1.69011998176575
"156",131,-40,1.90157651901245
"157",133,-40,2.04507303237915
"158",135,-40,2.02180290222168
"159",137,-40,2.28396964073181
"160",139,-40,2.42556118965149
"161",141,-40,2.76706004142761
"162",143,-40,3.06973147392273
"163",145,-40,4.84019947052002
"164",147,-40,4.99410343170166
"165",149,-40,5.11098766326904
"166",151,-40,3.29582190513611
"167",153,-40,2.95971608161926
"168",155,-40,2.80285882949829
"169",157,-40,2.31013488769531
"170",159,-40,2.1753363609314
"171",161,-40,2.22337365150452
"172",163,-40,2.31485772132874
"173",165,-40,2.18619680404663
"174",167,-40,2.44732546806335
"175",169,-40,2.6973443031311
"176",171,-40,3.04226398468018
"177",173,-40,6.26434278488159
"178",175,-40,5.94387578964233
"179",177,-40,4.63375902175903
"180",179,-40,3.0254271030426
"181",-179,-41,3.34625029563904
"182",-177,-41,2.68907618522644
"183",-175,-41,2.69200587272644
"184",-173,-41,2.35315012931824
"185",-171,-41,1.86224675178528
"186",-169,-41,1.51680874824524
"187",-167,-41,1.28803288936615
"188",-165,-41,1.25116181373596
"189",-163,-41,1.19636011123657
"190",-161,-41,0.957761704921722
"191",-159,-41,0.808902621269226
"192",-157,-41,0.500302314758301
"193",-155,-41,0.376559048891068
"194",-153,-41,0.176203176379204
"195",-151,-41,-0.019709151238203
"196",-149,-41,-0.25214746594429
"197",-147,-41,-0.430984884500504
"198",-145,-41,-0.682035148143768
"199",-143,-41,-0.908331573009491
"200",-141,-41,-1.07112050056458
"201",-139,-41,-1.11446464061737
"202",-137,-41,-1.26904940605164
"203",-135,-41,-1.27987003326416
"204",-133,-41,-1.29334676265717
"205",-131,-41,-1.24768662452698
"206",-129,-41,-1.29844653606415
"207",-127,-41,-1.24955034255981
"208",-125,-41,-1.23056852817535
"209",-123,-41,-1.19807910919189
"210",-121,-41,-1.18241167068481
"211",-119,-41,-1.18353927135468
"212",-117,-41,-1.1921318769455
"213",-115,-41,-1.21976137161255
"214",-113,-41,-1.13105201721191
"215",-111,-41,-1.07990765571594
"216",-109,-41,-0.978767871856689
"217",-107,-41,-0.836552262306213
"218",-105,-41,-0.710899770259857
"219",-103,-41,-0.53401654958725
"220",-101,-41,-0.384220033884048
"221",-99,-41,-0.294701516628265
"222",-97,-41,-0.185821875929832
"223",-95,-41,0.0404661223292351
"224",-93,-41,0.175889492034912
"225",-91,-41,0.343617111444473
"226",-89,-41,0.488823622465134
"227",-87,-41,0.639984667301178
"228",-85,-41,0.820387244224548
