"","X","Y","Values"
"1",-179,-40,3.85994124412537
"2",-177,-40,3.40884590148926
"3",-175,-40,3.2079119682312
"4",-173,-40,3.30120301246643
"5",-171,-40,3.12342500686646
"6",-169,-40,2.74822616577148
"7",-167,-40,2.43370699882507
"8",-165,-40,2.1239492893219
"9",-163,-40,1.79071092605591
"10",-161,-40,1.4346330165863
"11",-159,-40,1.07181966304779
"12",-157,-40,0.780180692672729
"13",-155,-40,0.431910187005997
"14",-153,-40,0.0400108098983765
"15",-151,-40,-0.311850756406784
"16",-149,-40,-0.60457968711853
"17",-147,-40,-0.860900163650513
"18",-145,-40,-1.18059682846069
"19",-143,-40,-1.52585482597351
"20",-141,-40,-1.83817088603973
"21",-139,-40,-2.15519380569458
"22",-137,-40,-2.43227243423462
"23",-135,-40,-2.5112988948822
"24",-133,-40,-2.50633835792542
"25",-131,-40,-2.4834041595459
"26",-129,-40,-2.4104278087616
"27",-127,-40,-2.44366765022278
"28",-125,-40,-2.35105133056641
"29",-123,-40,-2.33870840072632
"30",-121,-40,-2.34794068336487
"31",-119,-40,-2.36104846000671
"32",-117,-40,-2.42406344413757
"33",-115,-40,-2.41099071502686
"34",-113,-40,-2.29742407798767
"35",-111,-40,-2.08382797241211
"36",-109,-40,-1.84593653678894
"37",-107,-40,-1.60691392421722
"38",-105,-40,-1.32377946376801
"39",-103,-40,-1.01020669937134
"40",-101,-40,-0.673188745975494
"41",-99,-40,-0.354887008666992
"42",-97,-40,-0.0542556419968605
"43",-95,-40,0.212522909045219
"44",-93,-40,0.537113010883331
"45",-91,-40,0.770589292049408
"46",-89,-40,1.06246602535248
"47",-87,-40,1.46033549308777
"48",-85,-40,1.81287753582001
"49",-83,-40,2.12792539596558
"50",-81,-40,2.57137322425842
"51",-79,-40,3.17826652526855
"52",-77,-40,4.18680334091187
"53",-75,-40,7.07905054092407
"54",-73,-40,11.2251949310303
"55",-71,-40,NA
"56",-69,-40,10.0375337600708
"57",-67,-40,10.0375337600708
"58",-65,-40,11.3112707138062
"59",-63,-40,11.40283203125
"60",-61,-40,8.12435245513916
"61",-59,-40,8.13953018188477
"62",-57,-40,7.43387508392334
"63",-55,-40,4.98739910125732
"64",-53,-40,5.95813465118408
"65",-51,-40,4.97684097290039
"66",-49,-40,4.66076898574829
"67",-47,-40,4.14031267166138
"68",-45,-40,3.41225385665894
"69",-43,-40,2.91001486778259
"70",-41,-40,2.37675142288208
"71",-39,-40,2.02249002456665
"72",-37,-40,1.64615249633789
"73",-35,-40,1.49718821048737
"74",-33,-40,1.13309025764465
"75",-31,-40,0.60553777217865
"76",-29,-40,0.436486154794693
"77",-27,-40,0.384077668190002
"78",-25,-40,0.549732267856598
"79",-23,-40,0.787742555141449
"80",-21,-40,1.11953794956207
"81",-19,-40,1.3378267288208
"82",-17,-40,1.67894494533539
"83",-15,-40,2.09669923782349
"84",-13,-40,2.38593626022339
"85",-11,-40,2.70356774330139
"86",-9,-40,2.8493058681488
"87",-7,-40,2.42168736457825
"88",-5,-40,2.37215375900269
"89",-3,-40,2.73178029060364
"90",-1,-40,2.85922932624817
"91",1,-40,2.87646698951721
"92",3,-40,2.66224265098572
"93",5,-40,2.36040353775024
"94",7,-40,2.1327588558197
"95",9,-40,1.9719043970108
"96",11,-40,2.09577345848083
"97",13,-40,2.66105079650879
"98",15,-40,3.28966188430786
"99",17,-40,3.8331515789032
"100",19,-40,4.02154588699341
"101",21,-40,4.05082750320435
"102",23,-40,3.7415611743927
"103",25,-40,3.43455719947815
"104",27,-40,3.46466636657715
"105",29,-40,3.74386119842529
"106",31,-40,3.59080624580383
"107",33,-40,3.62023043632507
"108",35,-40,3.73574662208557
"109",37,-40,3.60969853401184
"110",39,-40,3.465665102005
"111",41,-40,3.50715613365173
"112",43,-40,3.49150395393372
"113",45,-40,3.36806893348694
"114",47,-40,3.05093359947205
"115",49,-40,3.07033944129944
"116",51,-40,2.91745066642761
"117",53,-40,2.23879528045654
"118",55,-40,1.61895716190338
"119",57,-40,0.897704362869263
"120",59,-40,0.390281319618225
"121",61,-40,-0.240761548280716
"122",63,-40,-0.777055680751801
"123",65,-40,-0.387373626232147
"124",67,-40,-0.139266550540924
"125",69,-40,-0.0623251609504223
"126",71,-40,-0.294426739215851
"127",73,-40,-0.678839504718781
"128",75,-40,-0.532802879810333
"129",77,-40,-0.423094302415848
"130",79,-40,-0.585767865180969
"131",81,-40,-0.569086492061615
"132",83,-40,-1.03770315647125
"133",85,-40,-1.53689348697662
"134",87,-40,-1.76415038108826
"135",89,-40,-1.88660371303558
"136",91,-40,-1.84935307502747
"137",93,-40,-1.94307219982147
"138",95,-40,-2.27547764778137
"139",97,-40,-2.36317777633667
"140",99,-40,-2.50236201286316
"141",101,-40,-2.71625733375549
"142",103,-40,-2.63622236251831
"143",105,-40,-2.90000653266907
"144",107,-40,-3.11275768280029
"145",109,-40,-3.01908731460571
"146",111,-40,-2.92900061607361
"147",113,-40,-2.49480056762695
"148",115,-40,-2.01085996627808
"149",117,-40,-1.303755402565
"150",119,-40,-0.697847723960876
"151",121,-40,-0.329205900430679
"152",123,-40,0.00745627284049988
"153",125,-40,0.287361830472946
"154",127,-40,0.704305648803711
"155",129,-40,1.05493605136871
"156",131,-40,1.49661934375763
"157",133,-40,1.80854213237762
"158",135,-40,2.12946557998657
"159",137,-40,2.52332091331482
"160",139,-40,3.00981879234314
"161",141,-40,3.47428154945374
"162",143,-40,3.99785232543945
"163",145,-40,6.90356922149658
"164",147,-40,6.44432544708252
"165",149,-40,6.11381578445435
