"","X","Y","Values"
"1",-179,-40,4.00679397583008
"2",-177,-40,3.34445214271545
"3",-175,-40,2.94006538391113
"4",-173,-40,2.38491892814636
"5",-171,-40,1.58118224143982
"6",-169,-40,0.65840083360672
"7",-167,-40,-0.183328986167908
"8",-165,-40,-0.766553163528442
"9",-163,-40,-1.40355718135834
"10",-161,-40,-2.03124332427979
"11",-159,-40,-2.66689372062683
"12",-157,-40,-3.23198556900024
"13",-155,-40,-3.86491060256958
"14",-153,-40,-4.44030332565308
"15",-151,-40,-5.04203844070435
"16",-149,-40,-5.77551698684692
"17",-147,-40,-6.42372512817383
"18",-145,-40,-7.01648998260498
"19",-143,-40,-7.5804009437561
"20",-141,-40,-8.30770683288574
"21",-139,-40,-8.83140563964844
"22",-137,-40,-9.54351425170898
"23",-135,-40,-9.46056938171387
"24",-133,-40,-9.54039478302002
"25",-131,-40,-9.48012828826904
"26",-129,-40,-9.57188129425049
"27",-127,-40,-9.4592399597168
"28",-125,-40,-9.61035537719727
"29",-123,-40,-9.51261806488037
"30",-121,-40,-9.3764705657959
"31",-119,-40,-9.34719371795654
"32",-117,-40,-9.29060649871826
"33",-115,-40,-9.10243034362793
"34",-113,-40,-9.01264667510986
"35",-111,-40,-8.3708324432373
"36",-109,-40,-7.84962797164917
"37",-107,-40,-7.21196269989014
"38",-105,-40,-6.73106813430786
"39",-103,-40,-6.24067163467407
"40",-101,-40,-5.78948211669922
"41",-99,-40,-5.17242860794067
"42",-97,-40,-4.47722053527832
"43",-95,-40,-3.88083386421204
"44",-93,-40,-3.1868314743042
"45",-91,-40,-2.64901852607727
"46",-89,-40,-1.97997236251831
"47",-87,-40,-1.40756976604462
"48",-85,-40,-0.858703851699829
"49",-83,-40,-0.149769440293312
"50",-81,-40,0.654188632965088
"51",-79,-40,2.15323972702026
"52",-77,-40,3.84101390838623
"53",-75,-40,6.01624917984009
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,7.58636999130249
"57",-67,-40,7.58636999130249
"58",-65,-40,7.71599340438843
"59",-63,-40,7.24374294281006
"60",-61,-40,8.06006813049316
"61",-59,-40,8.91026401519775
"62",-57,-40,5.86687326431274
"63",-55,-40,4.72507572174072
"64",-53,-40,6.92573833465576
"65",-51,-40,5.97900629043579
"66",-49,-40,4.79044485092163
"67",-47,-40,3.2936749458313
"68",-45,-40,1.91173350811005
"69",-43,-40,1.25307559967041
"70",-41,-40,0.888712167739868
"71",-39,-40,0.129477515816689
"72",-37,-40,0.426159113645554
"73",-35,-40,0.48680505156517
"74",-33,-40,0.19696868956089
"75",-31,-40,1.0212664604187
"76",-29,-40,1.32144725322723
"77",-27,-40,0.759960949420929
"78",-25,-40,0.770277082920074
"79",-23,-40,1.1940586566925
"80",-21,-40,1.04461073875427
"81",-19,-40,1.49043273925781
"82",-17,-40,1.88561177253723
"83",-15,-40,2.35657739639282
"84",-13,-40,2.498215675354
"85",-11,-40,3.0290048122406
"86",-9,-40,3.20404934883118
"87",-7,-40,2.3546781539917
"88",-5,-40,1.88903188705444
"89",-3,-40,2.27483773231506
"90",-1,-40,2.32766699790955
"91",1,-40,2.19481945037842
"92",3,-40,1.85148978233337
"93",5,-40,1.48346626758575
"94",7,-40,1.16283988952637
"95",9,-40,1.13720726966858
"96",11,-40,1.99396598339081
"97",13,-40,3.76231002807617
"98",15,-40,4.14444589614868
"99",17,-40,4.1754150390625
"100",19,-40,3.50209331512451
"101",21,-40,2.30572152137756
"102",23,-40,2.13383865356445
"103",25,-40,2.15052795410156
"104",27,-40,2.66831755638123
"105",29,-40,3.25735449790955
"106",31,-40,3.86494898796082
"107",33,-40,2.74714612960815
"108",35,-40,3.41850852966309
"109",37,-40,3.11451148986816
"110",39,-40,3.85206174850464
"111",41,-40,3.94244742393494
"112",43,-40,3.53552341461182
"113",45,-40,4.07692813873291
"114",47,-40,4.55728244781494
"115",49,-40,3.14194059371948
"116",51,-40,3.2019510269165
"117",53,-40,3.97172713279724
"118",55,-40,3.68799233436584
"119",57,-40,4.82060670852661
"120",59,-40,4.88784551620483
"121",61,-40,4.27269411087036
"122",63,-40,4.42299270629883
"123",65,-40,3.80581450462341
"124",67,-40,2.60837960243225
"125",69,-40,2.06810641288757
"126",71,-40,1.75604557991028
"127",73,-40,1.35614895820618
"128",75,-40,1.03969407081604
"129",77,-40,0.524675488471985
"130",79,-40,0.256366789340973
"131",81,-40,-0.146858543157578
"132",83,-40,-0.537026762962341
"133",85,-40,-0.991251528263092
"134",87,-40,-1.45483219623566
"135",89,-40,-1.66831493377686
"136",91,-40,-1.66686463356018
"137",93,-40,-2.17725491523743
"138",95,-40,-2.80035972595215
"139",97,-40,-3.23579335212708
"140",99,-40,-3.75866174697876
"141",101,-40,-4.07351016998291
"142",103,-40,-4.71231508255005
"143",105,-40,-5.10723161697388
"144",107,-40,-5.76965999603271
"145",109,-40,-6.23533725738525
"146",111,-40,-5.70968532562256
"147",113,-40,-5.53171062469482
"148",115,-40,-4.9411678314209
"149",117,-40,-4.97338485717773
"150",119,-40,-4.49493455886841
"151",121,-40,-3.8911657333374
"152",123,-40,-3.5633749961853
"153",125,-40,-2.87497019767761
"154",127,-40,-2.19716310501099
"155",129,-40,-1.55946493148804
"156",131,-40,-0.877506732940674
"157",133,-40,-0.302003532648087
"158",135,-40,0.420701205730438
"159",137,-40,1.32399272918701
"160",139,-40,2.08040332794189
"161",141,-40,2.97598767280579
"162",143,-40,3.80560374259949
"163",145,-40,4.9674277305603
"164",147,-40,4.05594158172607
"165",149,-40,6.16242265701294
"166",151,-40,4.77408599853516
"167",153,-40,3.7424418926239
"168",155,-40,2.75878596305847
"169",157,-40,2.16499853134155
"170",159,-40,1.60839092731476
"171",161,-40,1.85012519359589
"172",163,-40,2.28743958473206
"173",165,-40,3.04378342628479
"174",167,-40,3.53462052345276
"175",169,-40,4.01075220108032
"176",171,-40,4.77246570587158
"177",173,-40,6.98471641540527
"178",175,-40,6.08900928497314
"179",177,-40,5.66823196411133
"180",179,-40,4.38876152038574
"181",-179,-41,4.83123159408569
"182",-177,-41,4.17591762542725
"183",-175,-41,3.6989574432373
"184",-173,-41,2.84857726097107
"185",-171,-41,1.87397527694702
"186",-169,-41,1.03973412513733
"187",-167,-41,0.246146991848946
"188",-165,-41,-0.413568437099457
"189",-163,-41,-1.10688447952271
"190",-161,-41,-1.80117428302765
"191",-159,-41,-2.43624830245972
"192",-157,-41,-2.9904351234436
"193",-155,-41,-3.55249428749084
"194",-153,-41,-4.11323261260986
"195",-151,-41,-4.6947774887085
"196",-149,-41,-5.41197347640991
"197",-147,-41,-6.05248737335205
"198",-145,-41,-6.61592292785645
"199",-143,-41,-7.24726390838623
"200",-141,-41,-8.0035924911499
"201",-139,-41,-8.57875919342041
"202",-137,-41,-9.11514091491699
"203",-135,-41,-8.93875503540039
"204",-133,-41,-8.86011981964111
"205",-131,-41,-8.68074989318848
"206",-129,-41,-8.68678760528564
"207",-127,-41,-8.71092987060547
"208",-125,-41,-8.78920459747314
"209",-123,-41,-8.7325325012207
"210",-121,-41,-8.84008598327637
"211",-119,-41,-8.51022434234619
"212",-117,-41,-8.41911125183105
"213",-115,-41,-8.4620475769043
"214",-113,-41,-8.28799057006836
"215",-111,-41,-8.00828170776367
"216",-109,-41,-7.45540475845337
"217",-107,-41,-6.90100479125977
"218",-105,-41,-6.46881914138794
"219",-103,-41,-5.85640430450439
"220",-101,-41,-5.52230501174927
"221",-99,-41,-4.88863897323608
"222",-97,-41,-4.24942445755005
"223",-95,-41,-3.7582995891571
"224",-93,-41,-3.05482840538025
"225",-91,-41,-2.45282983779907
"226",-89,-41,-1.85668230056763
"227",-87,-41,-1.35607624053955
"228",-85,-41,-0.789132475852966
"229",-83,-41,-0.081730529665947
"230",-81,-41,0.679986655712128
"231",-79,-41,1.80456674098969
"232",-77,-41,3.93951272964478
"233",-75,-41,7.20741844177246
"234",-73,-41,NA
"235",-71,-41,NA
"236",-69,-41,7.77733898162842
"237",-67,-41,7.58636999130249
"238",-65,-41,7.46879625320435
"239",-63,-41,7.56968879699707
"240",-61,-41,7.67836713790894
"241",-59,-41,7.76500082015991
"242",-57,-41,5.07422924041748
"243",-55,-41,5.92458152770996
"244",-53,-41,6.87958860397339
"245",-51,-41,5.77867078781128
"246",-49,-41,5.07690238952637
"247",-47,-41,2.77787733078003
"248",-45,-41,1.17838478088379
"249",-43,-41,0.822732210159302
"250",-41,-41,-0.003368059406057
"251",-39,-41,-0.0358325354754925
"252",-37,-41,0.355542540550232
"253",-35,-41,-0.197941780090332
"254",-33,-41,-0.391253113746643
"255",-31,-41,0.26819697022438
"256",-29,-41,0.942889630794525
"257",-27,-41,0.333700686693192
"258",-25,-41,0.595363676548004
"259",-23,-41,1.20745396614075
"260",-21,-41,1.21600043773651
"261",-19,-41,1.42488038539886
"262",-17,-41,1.84352672100067
"263",-15,-41,2.20744180679321
"264",-13,-41,2.26030302047729
"265",-11,-41,2.51462364196777
"266",-9,-41,2.50888800621033
"267",-7,-41,1.96388900279999
"268",-5,-41,2.00656247138977
"269",-3,-41,2.26420974731445
"270",-1,-41,2.25056195259094
"271",1,-41,2.14706325531006
"272",3,-41,1.73839688301086
"273",5,-41,1.45408535003662
"274",7,-41,1.10114777088165
"275",9,-41,0.792070090770721
"276",11,-41,1.47800874710083
"277",13,-41,2.79812288284302
"278",15,-41,3.47068762779236
"279",17,-41,3.55465483665466
"280",19,-41,2.90854907035828
"281",21,-41,2.28716135025024
"282",23,-41,2.23670744895935
"283",25,-41,2.11114454269409
"284",27,-41,2.23594617843628
"285",29,-41,2.50080275535583
"286",31,-41,2.70052027702332
"287",33,-41,2.35561895370483
"288",35,-41,3.42414832115173
"289",37,-41,2.80043196678162
"290",39,-41,2.68713283538818
"291",41,-41,2.53251051902771
"292",43,-41,2.24701619148254
"293",45,-41,2.78896021842957
"294",47,-41,2.80553603172302
"295",49,-41,1.50447523593903
"296",51,-41,1.97355961799622
"297",53,-41,3.09819936752319
"298",55,-41,2.53038549423218
"299",57,-41,4.828049659729
"300",59,-41,6.25442218780518
"301",61,-41,6.00616455078125
"302",63,-41,4.72250509262085
"303",65,-41,3.91684055328369
"304",67,-41,3.08614540100098
"305",69,-41,3.08140563964844
"306",71,-41,2.81007480621338
"307",73,-41,2.09123301506042
"308",75,-41,1.48251056671143
"309",77,-41,1.10039114952087
"310",79,-41,0.624769926071167
"311",81,-41,0.328653961420059
"312",83,-41,0.131839990615845
"313",85,-41,0.0997854843735695
"314",87,-41,-0.601308345794678
"315",89,-41,-0.8897625207901
"316",91,-41,-1.14519095420837
"317",93,-41,-1.54785096645355
"318",95,-41,-1.84835684299469
"319",97,-41,-2.02147245407104
"320",99,-41,-2.37776184082031
"321",101,-41,-3.1538941860199
"322",103,-41,-3.94416999816895
"323",105,-41,-4.46658897399902
"324",107,-41,-4.99626731872559
"325",109,-41,-5.36487531661987
"326",111,-41,-5.25689315795898
"327",113,-41,-5.25742053985596
"328",115,-41,-4.82337856292725
"329",117,-41,-4.63054227828979
"330",119,-41,-4.10260963439941
"331",121,-41,-3.71952247619629
"332",123,-41,-3.29899597167969
"333",125,-41,-2.67165780067444
"334",127,-41,-2.14182114601135
"335",129,-41,-1.50866544246674
"336",131,-41,-0.934176206588745
"337",133,-41,-0.379503220319748
"338",135,-41,0.323723018169403
"339",137,-41,1.12906408309937
