"","X","Y","Values"
"1",-179,-40,3.97287917137146
"2",-177,-40,3.62894582748413
"3",-175,-40,3.40761184692383
"4",-173,-40,3.12983322143555
"5",-171,-40,2.76002979278564
"6",-169,-40,2.27871203422546
"7",-167,-40,1.83125615119934
"8",-165,-40,1.61128854751587
"9",-163,-40,1.39566361904144
"10",-161,-40,1.17374885082245
"11",-159,-40,0.833226978778839
"12",-157,-40,0.575335443019867
"13",-155,-40,0.322794526815414
"14",-153,-40,0.0792385041713715
"15",-151,-40,-0.108063332736492
"16",-149,-40,-0.319659739732742
"17",-147,-40,-0.484882384538651
"18",-145,-40,-0.729288339614868
"19",-143,-40,-1.00792908668518
"20",-141,-40,-1.22612237930298
"21",-139,-40,-1.44565057754517
"22",-137,-40,-1.644038438797
"23",-135,-40,-1.69836688041687
"24",-133,-40,-1.63827633857727
"25",-131,-40,-1.60991156101227
"26",-129,-40,-1.52268183231354
"27",-127,-40,-1.51968550682068
"28",-125,-40,-1.47847092151642
"29",-123,-40,-1.47846066951752
"30",-121,-40,-1.4834988117218
"31",-119,-40,-1.5268919467926
"32",-117,-40,-1.57909262180328
"33",-115,-40,-1.62230336666107
"34",-113,-40,-1.50404834747314
"35",-111,-40,-1.37802124023438
"36",-109,-40,-1.18631017208099
"37",-107,-40,-1.03369843959808
"38",-105,-40,-0.787641048431396
"39",-103,-40,-0.583052039146423
"40",-101,-40,-0.352596372365952
"41",-99,-40,-0.148562535643578
"42",-97,-40,0.0174340978264809
"43",-95,-40,0.227701663970947
"44",-93,-40,0.398780912160873
"45",-91,-40,0.63536137342453
"46",-89,-40,0.830209851264954
"47",-87,-40,1.04923045635223
"48",-85,-40,1.29382848739624
"49",-83,-40,1.60697090625763
"50",-81,-40,2.01743578910828
"51",-79,-40,2.88617777824402
"52",-77,-40,3.91671562194824
"53",-75,-40,5.68630456924438
"54",-73,-40,NA
"55",-71,-40,NA
"56",-69,-40,6.78447151184082
"57",-67,-40,6.78447151184082
"58",-65,-40,6.91134834289551
"59",-63,-40,6.96401405334473
"60",-61,-40,6.98044157028198
"61",-59,-40,8.42548274993896
"62",-57,-40,6.62282752990723
"63",-55,-40,5.43663644790649
"64",-53,-40,5.92117929458618
"65",-51,-40,5.08938980102539
"66",-49,-40,4.74391841888428
"67",-47,-40,4.03093147277832
"68",-45,-40,3.44956803321838
"69",-43,-40,2.86013579368591
"70",-41,-40,2.55390000343323
"71",-39,-40,2.40175747871399
"72",-37,-40,2.15751242637634
"73",-35,-40,1.70721244812012
"74",-33,-40,1.69071507453918
"75",-31,-40,1.27996480464935
"76",-29,-40,1.39091575145721
"77",-27,-40,1.56190526485443
"78",-25,-40,1.79234170913696
"79",-23,-40,2.09000515937805
"80",-21,-40,2.21044540405273
"81",-19,-40,2.42743754386902
"82",-17,-40,2.47194790840149
"83",-15,-40,2.65487670898438
"84",-13,-40,2.80894875526428
"85",-11,-40,3.03455305099487
"86",-9,-40,3.18949127197266
"87",-7,-40,2.79603028297424
"88",-5,-40,2.59749031066895
"89",-3,-40,2.7475962638855
"90",-1,-40,2.71106719970703
"91",1,-40,2.56163716316223
"92",3,-40,2.37600684165955
"93",5,-40,2.23448729515076
"94",7,-40,2.08915948867798
"95",9,-40,1.79459822177887
"96",11,-40,1.91145765781403
"97",13,-40,2.37291598320007
