"","X","Y","Values"
"1",-179,-40,0.0824492052197456
"2",-177,-40,0.0848658084869385
"3",-175,-40,0.0863415002822876
"4",-173,-40,0.0895416364073753
"5",-171,-40,0.0940549746155739
"6",-169,-40,0.101319923996925
"7",-167,-40,0.11120717227459
"8",-165,-40,0.120791986584663
"9",-163,-40,0.128927186131477
"10",-161,-40,0.138354331254959
"11",-159,-40,0.150800094008446
"12",-157,-40,0.1663798391819
"13",-155,-40,0.181941166520119
"14",-153,-40,0.199400529265404
"15",-151,-40,0.220553115010262
"16",-149,-40,0.244233369827271
"17",-147,-40,0.270743906497955
"18",-145,-40,0.298176318407059
"19",-143,-40,0.328174263238907
"20",-141,-40,0.359963446855545
"21",-139,-40,0.394794285297394
"22",-137,-40,0.432760149240494
"23",-135,-40,0.434550374746323
"24",-133,-40,0.426936626434326
"25",-131,-40,0.421502560377121
"26",-129,-40,0.417853713035583
"27",-127,-40,0.413585692644119
"28",-125,-40,0.412746101617813
"29",-123,-40,0.412152141332626
"30",-121,-40,0.412139177322388
"31",-119,-40,0.41350594162941
"32",-117,-40,0.414858877658844
"33",-115,-40,0.412601679563522
"34",-113,-40,0.400027245283127
"35",-111,-40,0.373886495828629
"36",-109,-40,0.342708140611649
"37",-107,-40,0.313625037670135
"38",-105,-40,0.287018001079559
"39",-103,-40,0.260335624217987
"40",-101,-40,0.235984265804291
"41",-99,-40,0.213269785046577
"42",-97,-40,0.192594990134239
"43",-95,-40,0.173534780740738
"44",-93,-40,0.157367140054703
"45",-91,-40,0.142842143774033
"46",-89,-40,0.129714518785477
"47",-87,-40,0.121345423161983
"48",-85,-40,0.113344117999077
"49",-83,-40,0.105526581406593
"50",-81,-40,0.100759357213974
"51",-79,-40,0.0967036709189415
"52",-77,-40,0.0889329984784126
"53",-75,-40,0.103682719171047
"54",-73,-40,0.292318791151047
"55",-71,-40,NA
"56",-69,-40,0.227983802556992
"57",-67,-40,0.227983802556992
"58",-65,-40,0.304601281881332
"59",-63,-40,0.298579514026642
"60",-61,-40,0.124917827546597
"61",-59,-40,0.156389713287354
"62",-57,-40,0.137165561318398
"63",-55,-40,0.0774140059947968
"64",-53,-40,0.0930734425783157
"65",-51,-40,0.0925367251038551
"66",-49,-40,0.0961880907416344
"67",-47,-40,0.100331634283066
"68",-45,-40,0.105590984225273
"69",-43,-40,0.116003952920437
"70",-41,-40,0.129557207226753
"71",-39,-40,0.140548050403595
"72",-37,-40,0.141310140490532
"73",-35,-40,0.138460531830788
"74",-33,-40,0.138727337121964
